timestamp,timer,channel,position
8540827164,3,1,0.649122834
8540927164,3,1,0.873684227
8541027164,3,1,0.95087719
8541127164,3,1,0.982456148
8541227164,3,1,0.992982447
8541327164,3,1,0.996491253
8541427164,3,1,1
8541527164,3,1,1
8541627164,3,1,1
8541727164,3,1,1
8541827164,3,1,1
8541927164,3,1,1
8542027164,3,1,1
8542127164,3,1,1
8542227168,3,1,1
8542327168,3,1,1
8542427168,3,1,1
8542527168,3,1,1
8542627168,3,1,1
8542727172,3,1,1
8542827168,3,1,1
8542927172,3,1,1
8543027172,3,1,1
8543127172,3,1,1
8543227172,3,1,1
8543327172,3,1,1
8543427172,3,1,1
8543527176,3,1,1
8543627176,3,1,1
8543727172,3,1,1
8543827176,3,1,1
8543927176,3,1,1
8544027176,3,1,1
8544127176,3,1,1
8544227176,3,1,1
8544327176,3,1,1
8544427176,3,1,1
8544527176,3,1,1
8544627180,3,1,1
8544727180,3,1,1
8544827180,3,1,1
8544927180,3,1,1
8545027180,3,1,1
8545127180,3,1,1
8545227180,3,1,1
8545327180,3,1,1
8545427180,3,1,1
8545527184,3,1,1
8545627180,3,1,1
8545727180,3,1,1
8545827180,3,1,1
8545927184,3,1,1
8546027184,3,1,1
8546127184,3,1,1
8546227184,3,1,1
8546327184,3,1,1
8546427184,3,1,1
8546527184,3,1,1
8546627184,3,1,1
8546727188,3,1,1
8546827188,3,1,1
8546927188,3,1,1
8547027188,3,1,1
8547127188,3,1,1
8547227188,3,1,1
8547327188,3,1,1
8547427192,3,1,1
8547527192,3,1,1
8547627192,3,1,1
8547727192,3,1,1
8547827192,3,1,1
8547927192,3,1,1
8548027192,3,1,1
8548127192,3,1,1
8548227196,3,1,1
8548327192,3,1,1
8548427192,3,1,1
8548527196,3,1,1
8548627196,3,1,1
8548727196,3,1,1
8548827196,3,1,1
8548927196,3,1,1
8549027196,3,1,1
8549127196,3,1,1
8549227196,3,1,1
8549327200,3,1,1
8549427196,3,1,1
8549527200,3,1,1
8549627200,3,1,1
8549727200,3,1,1
8549827200,3,1,1
8549927204,3,1,1
8550027200,3,1,1
8550127208,3,1,1
8550227204,3,1,1
8550327204,3,1,1
8550427204,3,1,1
8550527204,3,1,1
8550627204,3,1,1
8550727204,3,1,1
8550827204,3,1,1
8550927204,3,1,1
8551027208,3,1,1
8551127208,3,1,1
8551227208,3,1,1
8551327208,3,1,1
8551427208,3,1,1
8551527208,3,1,1
8551627208,3,1,1
8551727208,3,1,1
8551827208,3,1,1
8551927208,3,1,1
8552027208,3,1,1
8552127212,3,1,1
8552227212,3,1,1
8552327212,3,1,1
8552427212,3,1,1
8552527212,3,1,1
8552627212,3,1,1
8552727216,3,1,1
8552827216,3,1,1
8552927216,3,1,1
8553027216,3,1,1
8553127216,3,1,1
8553227216,3,1,1
8553327216,3,1,1
8553427220,3,1,1
8553428644,12,1,1
8553428788,3,1,-0
