Time,Z,Vz
0.64,1828.27708853065,-119.50188544153
0.65,1808.87377793551,-122.671483054806
0.66,1789.84892223913,-125.828402292087
0.66,1789.84892223913,-125.828402292087
0.67,1771.26606735473,-128.958153210898
0.68,1753.12272552445,-132.059943996449
0.68,1753.12272552445,-132.059943996449
0.69,1735.33112502738,-135.146260992003
0.7,1717.96731145951,-138.199899718627
0.7,1717.96731145951,-138.199899718627
0.71,1701.00591110488,-141.223165267883
0.72,1684.44350574675,-144.214107088251
0.72,1684.44350574675,-144.214107088251
0.73,1668.35205188761,-147.155929275183
0.74,1652.53444812017,-150.084709394249
0.74,1652.53444812017,-150.084709394249
0.75,1637.13361620887,-152.9696867856
0.76,1622.02188166855,-155.834502391185
0.76,1622.02188166855,-155.834502391185
0.77,1607.3231608548,-158.651180013205
0.78,1592.9811774836,-161.428746610807
0.78,1592.9811774836,-161.428746610807
0.79,1578.94554576004,-164.175779422916
0.8,1565.33510626685,-166.86404131274
0.8,1565.33510626685,-166.86404131274
0.81,1551.99236032151,-169.52568035115
0.82,1538.98441625473,-172.14384555418
0.82,1538.98441625473,-172.14384555418
0.83,1526.25606590178,-174.728641137027
0.84,1513.88952033525,-177.259548876533
0.84,1513.88952033525,-177.259548876533
0.85,1501.82852775042,-179.74705286465
0.86,1490.07335348251,-182.188816066348
0.86,1490.07335348251,-182.188816066348
0.87,1478.56962468501,-184.596148477807
0.88,1467.34587998735,-186.960190328768
0.88,1467.34587998735,-186.960190328768
0.89,1456.46505787398,-189.263678732325
0.9,1445.82871868189,-191.528929997504
0.9,1445.82871868189,-191.528929997504
0.91,1435.42162987242,-193.758264430885
0.92,1425.34435013196,-195.924342182611
0.92,1425.34435013196,-195.924342182611
0.93,1415.51783115633,-198.045229937842
0.940000000000001,1405.99265430506,-200.106494576363
0.940000000000001,1405.99265430506,-200.106494576363
0.950000000000001,1396.6658709343,-202.13269383634
0.960000000000001,1387.59156932896,-204.108604727699
0.960000000000001,1387.59156932896,-204.108604727699
0.970000000000001,1378.64420379754,-206.06604387675
0.980000000000001,1370.08647574271,-207.932960105245
0.980000000000001,1370.08647574271,-207.932960105245
0.99,1361.6866200374,-209.771035130627
1,1353.47991261043,-211.568542352565
1,1353.47991261043,-211.568542352565
1.01,1345.52761324135,-213.307569624435
1.02,1337.83167157918,-214.985571981003
1.02,1337.83167157918,-214.985571981003
1.03,1330.35227597755,-216.612924115752
1.04,1323.04621477197,-218.200613156281
1.04,1323.04621477197,-218.200613156281
1.05,1315.85539202743,-219.764949060072
1.06,1308.91198302997,-221.265612106058
1.06,1308.91198302997,-221.265612106058
1.07,1302.17626697178,-222.713247860403
1.08,1295.64203665108,-224.108451726321
1.08,1295.64203665108,-224.108451726321
1.09,1289.27386901534,-225.460759782675
1.1,1283.11984882727,-226.754830674702
1.1,1283.11984882727,-226.754830674702
1.11,1277.06480272416,-228.024975083982
1.12,1271.1527898022,-229.256835322548
1.12,1271.1527898022,-229.256835322548
1.13,1265.46095058219,-230.42464150466
1.14,1259.86675426406,-231.567000499932
1.14,1259.86675426406,-231.567000499932
1.15,1254.41788485643,-232.667686584744
1.16,1249.16660388169,-233.708571982596
1.16,1249.16660388169,-233.708571982596
1.17,1244.03266089816,-234.715325017662
1.18,1239.01091462728,-235.689149890593
1.18,1239.01091462728,-235.689149890593
1.19,1234.16372357792,-236.608729365875
1.2,1229.45464735948,-237.48497509158
1.2,1229.45464735948,-237.48497509158
1.21,1224.81040698987,-238.342741342683
