0,0,0,0,0,0,0,0
1e+05,0,0.01069,0,-0.12218,3.5098,0,0
2e+05,0,0.065554,0,-0.74929,9.036,0,0
3e+05,0,0.1677,0,-1.9169,14.414,0,0
4e+05,0,0.31703,0,-3.6237,19.866,0,0
5e+05,0,0.51423,0,-5.8777,25.399,0,0
6e+05,0,0.76,0,-8.6868,31.011,0,0
7e+05,0,1.0548,-0.00031064,-12.059,36.702,-0.023047,-0.032157
8e+05,0,1.3969,-0.0044283,-16.002,42.47,-0.17362,-0.34605
9e+05,0,1.7907,-0.01218,-20.524,48.306,-0.52157,-1.0274
1e+06,0,2.2485,-0.019395,-25.631,54.182,-1.1323,-2.0611
1.1e+06,0,2.789,-0.01907,-31.326,60.061,-1.9998,-3.3408
1.2e+06,0,3.4361,-0.0019674,-37.61,65.94,-3.0217,-4.6967
1.3e+06,0,4.2156,0.042661,-44.484,71.829,-4.0644,-5.9646
1.4e+06,0,5.153,0.12587,-51.946,77.784,-4.8354,-6.8119
1.5e+06,0,6.2691,0.25664,-59.995,83.884,-4.95,-6.8682
1.6e+06,0,7.5707,0.43819,-68.632,90.148,-4.2743,-5.937
1.7e+06,0,9.0478,0.66603,-77.866,96.51,-3.0222,-4.1714
1.8e+06,0,10.677,0.92971,-87.706,102.87,-1.6994,-2.3044
1.9e+06,0,12.433,1.217,-98.161,109.2,-1.0038,-1.3714
2e+06,0,14.301,1.5204,-109.24,115.54,-1.2966,-1.8913
2.1e+06,0,16.288,1.8419,-120.94,121.85,-2.3819,-3.5134
2.2e+06,0,18.418,2.1917,-133.26,128.09,-3.5666,-5.2092
2.3e+06,0,20.716,2.5819,-146.19,134.33,-4.0851,-5.9089
2.4e+06,0,23.196,3.0186,-159.73,140.64,-3.4171,-4.9278
2.5e+06,0,25.845,3.4957,-173.86,146.93,-2.1012,-3.044
2.6e+06,0,28.633,4.0005,-188.6,153.13,-1.5479,-2.2615
2.7e+06,0,31.55,4.5265,-203.94,159.24,-2.2527,-3.2665
2.8e+06,0,34.608,5.0805,-219.87,165.28,-3.3192,-4.7733
2.9e+06,0,37.83,5.6735,-236.39,171.3,-3.544,-5.1031
3e+06,0,41.224,6.3083,-253.48,177.35,-2.6066,-3.8022
3.1e+06,0,44.768,6.9752,-271.16,183.34,-1.9397,-2.8472
3.2e+06,0,48.448,7.6671,-289.41,189.23,-2.4761,-3.5635
3.3e+06,0,52.273,8.3892,-308.23,195.05,-3.2213,-4.6074
3.4e+06,0,56.26,9.1494,-327.62,200.84,-3.036,-4.3968
3.5e+06,0,60.404,9.9457,-347.55,206.56,-2.3134,-3.4023
3.6e+06,0,64.689,10.77,-368.03,212.14,-2.3874,-3.4509
3.7e+06,0,69.113,11.623,-389.05,217.6,-2.9529,-4.2143
3.8e+06,0,73.686,12.51,-410.58,222.97,-2.8777,-4.1703
3.9e+06,0,78.406,13.43,-432.63,228.25,-2.4484,-3.585
4e+06,0,83.262,14.377,-455.18,233.41,-2.6185,-3.7592
4.1e+06,0,88.255,15.354,-478.23,238.46,-2.8589,-4.096
4.2e+06,0,93.389,16.363,-501.75,243.42,-2.6453,-3.8466
4.3e+06,0,98.656,17.4,-525.75,248.26,-2.5866,-3.7416
4.4e+06,0,104.05,18.465,-550.21,252.99,-2.758,-3.956
4.5e+06,0,109.59,19.558,-575.11,257.62,-2.6936,-3.8972
4.6e+06,0,115.25,20.68,-600.46,262.14,-2.6265,-3.8012
4.7e+06,0,121.03,21.829,-626.23,266.55,-2.7141,-3.903
4.8e+06,0,126.94,23.005,-652.42,270.85,-2.6889,-3.885
4.9e+06,0,132.97,24.208,-679.02,275.08,-2.6557,-3.8383
5e+06,0,139.13,25.436,-706.02,279.25,-2.6991,-3.8875
5.1e+06,0,145.4,26.691,-733.42,283.37,-2.6796,-3.8706
5.2e+06,0,151.8,27.972,-761.21,287.46,-2.672,-3.8573
5.3e+06,0,158.31,29.279,-789.39,291.5,-2.6904,-3.879
5.4e+06,0,164.95,30.611,-817.95,295.46,-2.6759,-3.8644
5.5e+06,0,171.7,31.968,-846.88,298.98,-2.6804,-3.8667
5.6e+06,0,178.54,33.346,-876.08,301.23,-2.6832,-3.8712
5.7e+06,0,185.44,34.736,-905.43,302.16,-2.6772,-3.8641
5.8e+06,0,192.37,36.134,-934.81,302.02,-2.6819,-3.8684
5.9e+06,0,199.32,37.533,-964.13,301.03,-2.6793,-3.8661
6e+06,0,206.25,38.93,-993.31,299.2,-2.6791,-3.865
6.1e+06,0,213.15,40.319,-1022.3,296.59,-2.6802,-3.8659
6.2e+06,0,220,41.7,-1051,293.91,-2.6784,-3.8638
6.3e+06,0,226.82,43.072,-1079.4,291.34,-2.6793,-3.8643
6.4e+06,0,233.59,44.435,-1107.6,288.83,-2.6789,-3.8637
6.5e+06,0,240.33,45.789,-1135.5,286.34,-2.6783,-3.8627
6.6e+06,0,247.03,47.136,-1163.2,283.89,-2.6786,-3.8627
6.7e+06,0,253.69,48.474,-1190.6,281.46,-2.678,-3.8618
6.8e+06,0,260.31,49.804,-1217.8,279.07,-2.6778,-3.8612
6.9e+06,0,266.9,51.127,-1244.8,276.7,-2.6778,-3.8608
7e+06,0,273.45,52.442,-1271.5,274.38,-2.6774,-3.8602
7.1e+06,0,279.97,53.749,-1298,272.1,-2.6774,-3.86
7.2e+06,0,286.45,55.049,-1324.3,269.85,-2.677,-3.8591
7.3e+06,0,292.9,56.342,-1350.4,267.62,-2.6768,-3.8585
7.4e+06,0,299.32,57.628,-1376.2,265.42,-2.6766,-3.858
