gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix,year,month,day,hour,minute,second,nanosecond,accuracy
8440127684,41.8087196,14.0550547,1460.85999,0.195999995,0.0140000004,-0.0930000022,0.195999995,186.179688,1.20000005,16,3,2023,9,19,11,41,37,400180587,5
8440327684,41.8087196,14.0550547,1460.81604,0.201000005,-0.0170000009,-0.248999998,0.201000005,186.179688,1.20000005,16,3,2023,9,19,11,41,37,600181116,5
8440527688,41.8087196,14.0550547,1460.80396,0.0379999988,0.0219999999,0.061999999,0.0439999998,186.179688,1.24000001,15,3,2023,9,19,11,41,37,800181644,5
8440727688,41.8087196,14.0550547,1460.755,0.0860000029,0.0280000009,-0.165000007,0.0900000036,186.179688,1.24000001,15,3,2023,9,19,11,41,38,182173,5
8440927688,41.8087196,14.0550547,1460.71594,-0.137999997,0.0649999976,0.0839999989,0.152999997,186.179688,1.24000001,15,3,2023,9,19,11,41,38,200182703,5
8441127688,41.8087196,14.0550547,1460.68506,0.0900000036,0.0140000004,-0.00899999961,0.0909999982,186.179688,1.20000005,16,3,2023,9,19,11,41,38,400183232,5
8441327688,41.8087196,14.0550547,1460.65002,0.104000002,-0.0419999994,-0.101999998,0.112000003,186.179688,1.20000005,16,3,2023,9,19,11,41,38,600183761,5
8441527692,41.8087158,14.0550547,1460.61096,-0.200000003,-0.0299999993,0.238999993,0.202000007,186.179688,1.20000005,16,3,2023,9,19,11,41,38,800184290,5
8441727692,41.8087158,14.0550547,1460.53894,0.0390000008,-0.0329999998,-0.135000005,0.050999999,186.179688,1.20000005,16,3,2023,9,19,11,41,39,184819,5
8441927692,41.8087158,14.0550547,1460.52405,-0.0759999976,-0.0199999996,0.172999993,0.0790000036,186.179688,1.20000005,16,3,2023,9,19,11,41,39,200185348,5
8442127692,41.8087158,14.0550547,1460.47803,0.122000001,-0.0170000009,-0.109999999,0.123000003,186.179688,1.20000005,16,3,2023,9,19,11,41,39,400185877,5
8442327692,41.8087158,14.0550547,1460.44104,0.0489999987,-0.0140000004,-0.0270000007,0.050999999,186.179688,1.20000005,16,3,2023,9,19,11,41,39,600186407,5
8442527696,41.8087158,14.0550547,1460.39795,-0.173999995,-0.0430000015,0.0460000001,0.180000007,186.179688,1.20000005,16,3,2023,9,19,11,41,39,800186936,5
8442727696,41.8087158,14.0550547,1460.39404,-0.237000003,-0.0250000004,0.136999995,0.238000005,186.179688,1.20000005,16,3,2023,9,19,11,41,40,187465,5
8442927696,41.8087158,14.0550547,1460.34094,-0.0340000018,-0.00200000009,0.00499999989,0.0340000018,186.179688,1.20000005,16,3,2023,9,19,11,41,40,200187995,5
8443127696,41.8087158,14.0550547,1460.302,-0.00899999961,-0.0149999997,-0.104000002,0.0170000009,186.179688,1.20000005,16,3,2023,9,19,11,41,40,400188524,5
8443327700,41.8087158,14.0550547,1460.28601,0.00700000022,-0.0130000003,0.0160000008,0.0140000004,186.179688,1.20000005,16,3,2023,9,19,11,41,40,600189053,5
8443527700,41.8087158,14.0550547,1460.22498,-0.0410000011,-0.0109999999,0.0289999992,0.0419999994,186.179688,1.23000002,15,3,2023,9,19,11,41,40,800189583,5
8443727700,41.8087158,14.0550547,1460.18103,-0.188999996,0.00100000005,0.0140000004,0.188999996,186.179688,1.23000002,15,3,2023,9,19,11,41,41,190113,5
8443927700,41.8087158,14.0550547,1460.10596,-0.104999997,-0.00600000005,0.00400000019,0.104999997,186.179688,1.23000002,15,3,2023,9,19,11,41,41,200190643,5
8444127704,41.808712,14.0550528,1460.052,-0.144999996,-0.0199999996,0.0920000002,0.147,186.179688,1.23000002,15,3,2023,9,19,11,41,41,400191173,5
8444327704,41.808712,14.0550528,1460.02698,0.120999999,0.0250000004,-0.125,0.123000003,186.179688,1.23000002,15,3,2023,9,19,11,41,41,600191703,5
8444527704,41.808712,14.0550528,1460.01099,-0.138999999,-0.0189999994,0.0120000001,0.141000003,186.179688,1.23000002,15,3,2023,9,19,11,41,41,800192233,5
8444727704,41.808712,14.0550528,1459.97595,-0.0560000017,0,-0.0659999996,0.0560000017,186.179688,1.23000002,15,3,2023,9,19,11,41,42,192763,5
8444927708,41.808712,14.0550528,1459.95898,-0.0820000023,-0.0130000003,0.104000002,0.0829999968,186.179688,1.23000002,15,3,2023,9,19,11,41,42,200193293,5
8445127708,41.808712,14.0550528,1459.92395,-0.0179999992,-0.0350000001,-0.0450000018,0.0390000008,186.179688,1.23000002,15,3,2023,9,19,11,41,42,400193823,5
8445327708,41.808712,14.0550528,1459.88599,-0.149000004,0.0350000001,-0.0529999994,0.152999997,186.179688,1.23000002,15,3,2023,9,19,11,41,42,600194353,5
8445527708,41.808712,14.0550528,1459.86694,-0.158999994,-0.0209999997,0.074000001,0.159999996,186.179688,1.23000002,15,3,2023,9,19,11,41,42,800194884,5
8445727708,41.808712,14.0550528,1459.82104,-0.00899999961,0.0410000011,0.00600000005,0.0419999994,186.179688,1.23000002,15,3,2023,9,19,11,41,43,195414,5
8445927712,41.808712,14.0550528,1459.77502,-0.194999993,-0.0659999996,0.181999996,0.206,186.179688,1.23000002,15,3,2023,9,19,11,41,43,200195944,5
8446127712,41.808712,14.0550528,1459.67004,-0.0359999985,-0.0140000004,-0.0160000008,0.0390000008,186.179688,1.23000002,15,3,2023,9,19,11,41,43,400196475,5
8446327712,41.808712,14.0550528,1459.57898,-0.224000007,-0.0280000009,0.0649999976,0.225999996,186.179688,1.23000002,15,3,2023,9,19,11,41,43,600197005,5
8446527712,41.808712,14.0550528,1459.50403,-0.409999996,-0.00700000022,0.347000003,0.409999996,183.962753,1.20000005,16,3,2023,9,19,11,41,43,800197536,5
8446727716,41.808712,14.0550528,1459.42004,-0.00300000003,-0.0179999992,0.0379999988,0.0179999992,183.962753,1.20000005,16,3,2023,9,19,11,41,44,198066,5
8446927716,41.808712,14.0550528,1459.39697,-0.0649999976,0.0489999987,-0.0309999995,0.0810000002,183.962753,1.20000005,16,3,2023,9,19,11,41,44,200198597,5
8447127716,41.8087082,14.0550528,1459.28503,-0.0920000002,-0.0219999999,0.0549999997,0.0949999988,183.962753,1.20000005,16,3,2023,9,19,11,41,44,400199128,5
8447327716,41.8087082,14.0550528,1459.30701,-0.164000005,-0.0390000008,0.189999998,0.167999998,183.962753,1.24000001,15,3,2023,9,19,11,41,44,600199658,5
8447527720,41.8087082,14.0550528,1459.29004,-0.151999995,-0.0560000017,0.0540000014,0.162,183.962753,1.24000001,15,3,2023,9,19,11,41,44,800200189,5
8447727720,41.8087082,14.0550528,1459.28296,0.111000001,0.00200000009,-0.0960000008,0.111000001,183.962753,1.24000001,15,3,2023,9,19,11,41,45,200720,5
8447927720,41.8087082,14.0550528,1459.27698,0.196999997,0.064000003,-0.193000004,0.207000002,183.962753,1.25999999,14,3,2023,9,19,11,41,45,200201250,5
8448127720,41.8087082,14.0550528,1459.30103,0.169,0.0359999985,-0.224000007,0.172000006,183.962753,1.25999999,14,3,2023,9,19,11,41,45,400201781,5
8448327720,41.8087082,14.0550528,1459.30103,-0.00200000009,0.0179999992,-0.00300000003,0.0179999992,183.962753,1.25999999,14,3,2023,9,19,11,41,45,600202312,5
8448527724,41.808712,14.0550528,1459.30798,0.133000001,0.0590000004,-0.123000003,0.144999996,183.962753,1.25999999,14,3,2023,9,19,11,41,45,800202843,5
8448727724,41.808712,14.0550528,1459.32397,0.286000013,0.0170000009,-0.244000003,0.286000013,246.054001,1.25999999,14,3,2023,9,19,11,41,46,203373,5
8448927724,41.808712,14.0550528,1459.30896,0.156000003,0.00700000022,-0.207000002,0.156000003,246.054001,1.25999999,14,3,2023,9,19,11,41,46,200203904,5
8449127724,41.808712,14.0550528,1459.302,0.0359999985,0.00200000009,-0.0469999984,0.0359999985,246.054001,1.25999999,14,3,2023,9,19,11,41,46,400204435,5
8449327724,41.808712,14.0550528,1459.28198,0.173999995,0.0320000015,-0.201000005,0.177000001,246.054001,1.25999999,14,3,2023,9,19,11,41,46,600204966,5
8449527728,41.808712,14.0550528,1459.30005,0.112000003,-0.00100000005,-0.0869999975,0.112000003,246.054001,1.25999999,14,3,2023,9,19,11,41,46,800205497,5
8449727728,41.808712,14.0550528,1459.29199,0.166999996,0.0209999997,-0.273000002,0.167999998,246.054001,1.25999999,14,3,2023,9,19,11,41,47,206028,5
8449927728,41.808712,14.0550528,1459.30103,-0.143999994,0.00899999961,-0.00600000005,0.143999994,246.054001,1.25999999,14,3,2023,9,19,11,41,47,200206559,5
8450127728,41.808712,14.0550528,1459.26501,0.231000006,-0.0250000004,-0.284999996,0.232999995,246.054001,1.25999999,14,3,2023,9,19,11,41,47,400207091,5
8450327732,41.808712,14.0550528,1459.24805,0.200000003,0.0700000003,-0.277999997,0.211999997,246.054001,1.25999999,14,3,2023,9,19,11,41,47,600207622,5
8450527732,41.808712,14.0550528,1459.27905,-0.0689999983,0.0120000001,-0.00999999978,0.0700000003,246.054001,1.25999999,14,3,2023,9,19,11,41,47,800208153,5
8450727732,41.808712,14.0550528,1459.25305,0.00600000005,-0.0189999994,-0.00200000009,0.0199999996,246.054001,1.25999999,14,3,2023,9,19,11,41,48,208684,5
8450927736,41.808712,14.0550528,1459.22302,0.256999999,0.0289999992,-0.25,0.259000003,246.054001,1.25999999,14,3,2023,9,19,11,41,48,200209216,5
8451127736,41.808712,14.0550528,1459.24194,0.145999998,0.0240000002,-0.224999994,0.148000002,246.054001,1.25999999,14,3,2023,9,19,11,41,48,400209747,5
8451327736,41.808712,14.0550528,1459.26501,-0.0199999996,0.0219999999,-0.0120000001,0.0299999993,246.054001,1.25999999,14,3,2023,9,19,11,41,48,600210278,5
8451527736,41.808712,14.0550528,1459.24597,0.00499999989,-0.0149999997,-0.0659999996,0.0160000008,246.054001,1.25999999,14,3,2023,9,19,11,41,48,800210810,5
8451727736,41.808712,14.0550528,1459.24805,-0.0320000015,0.0199999996,0.0379999988,0.0379999988,246.054001,1.25999999,14,3,2023,9,19,11,41,49,211341,5
8451927740,41.808712,14.0550528,1459.23401,0.0160000008,0.023,-0.0979999974,0.0280000009,246.054001,1.25999999,14,3,2023,9,19,11,41,49,200211873,5
8452127740,41.808712,14.0550528,1459.21704,0.104999997,-0.0170000009,-0.061999999,0.105999999,246.054001,1.25999999,14,3,2023,9,19,11,41,49,400212404,5
8452327740,41.808712,14.0550528,1459.203,0.182999998,0.0270000007,-0.115999997,0.185000002,246.054001,1.25999999,14,3,2023,9,19,11,41,49,600212936,5
8452527740,41.808712,14.0550528,1459.20898,0.0869999975,0.057,-0.151999995,0.104000002,246.054001,1.25999999,14,3,2023,9,19,11,41,49,800213467,5
8452727740,41.808712,14.0550528,1459.20105,0.123999998,0.0130000003,-0.118000001,0.125,246.054001,1.25999999,14,3,2023,9,19,11,41,50,213999,5
8452927744,41.808712,14.0550528,1459.15295,0.493999988,0.0399999991,-0.535000026,0.495999992,335.691803,1.25999999,14,3,2023,9,19,11,41,50,200214531,5
8453127744,41.808712,14.0550528,1459.146,0.307999998,0.074000001,-0.349000007,0.317000002,345.85672,1.25999999,14,3,2023,9,19,11,41,50,400215062,5
8453327744,41.808712,14.0550528,1459.11401,0.204999998,-0.0120000001,-0.250999987,0.204999998,345.85672,1.25999999,14,3,2023,9,19,11,41,50,600215595,5
8453527748,41.808712,14.0550528,1459.10901,0.143999994,-0.0120000001,-0.201000005,0.143999994,345.85672,1.25999999,14,3,2023,9,19,11,41,50,800216127,5
8453727748,41.808712,14.0550528,1459.099,0.248999998,0.0299999993,-0.365999997,0.250999987,345.85672,1.25999999,14,3,2023,9,19,11,41,51,216659,5
8453927748,41.808712,14.0550528,1459.13196,-0.00800000038,-0.0599999987,0.0659999996,0.0610000007,345.85672,1.25999999,14,3,2023,9,19,11,41,51,200217191,5
8454127748,41.808712,14.0550528,1459.10205,0.294,0.074000001,-0.404000014,0.303000003,358.431,1.25999999,14,3,2023,9,19,11,41,51,400217723,5
8454327748,41.808712,14.0550528,1459.12598,0.187000006,0.0240000002,-0.143999994,0.188999996,358.431,1.25999999,14,3,2023,9,19,11,41,51,600218255,5
8454527752,41.808712,14.0550528,1459.11902,0.293000013,-0.0179999992,-0.379000008,0.293000013,357.486725,1.25999999,14,3,2023,9,19,11,41,51,800218788,5
8454727752,41.808712,14.0550528,1459.14001,0.204999998,0.0149999997,-0.162,0.204999998,357.486725,1.25999999,14,3,2023,9,19,11,41,52,219320,5
8454927752,41.808712,14.0550528,1459.11304,0.0890000015,0.0860000029,-0.0659999996,0.123999998,357.486725,1.25999999,14,3,2023,9,19,11,41,52,200219853,5
8455127756,41.808712,14.0550528,1459.09204,0.158999994,0.0280000009,-0.172999993,0.160999998,357.486725,1.25999999,14,3,2023,9,19,11,41,52,400220385,5
8455327756,41.808712,14.0550528,1459.078,-0.189999998,-0.0199999996,0.159999996,0.191,357.486725,1.25999999,14,3,2023,9,19,11,41,52,600220918,5
8455527756,41.808712,14.0550528,1459.06494,-0.0250000004,-0.00499999989,-0.0860000029,0.0260000005,357.486725,1.25999999,14,3,2023,9,19,11,41,52,800221450,5
8455727756,41.808712,14.0550528,1459.05505,0.0599999987,-0.0289999992,0.00400000019,0.0670000017,357.486725,1.25999999,14,3,2023,9,19,11,41,53,221983,5
8455927756,41.808712,14.0550508,1459.06006,0.222000003,0.0359999985,-0.287,0.224999994,357.486725,1.25999999,14,3,2023,9,19,11,41,53,200222516,5
8456127760,41.808712,14.0550528,1459.08606,0.218999997,0.0670000017,-0.221000001,0.229000002,357.486725,1.25999999,14,3,2023,9,19,11,41,53,400223048,5
8456327760,41.808712,14.0550508,1459.04504,0.264999986,0.00800000038,-0.298000008,0.264999986,359.599762,1.25999999,14,3,2023,9,19,11,41,53,600223581,5
8456527760,41.808712,14.0550508,1459.01904,0.0769999996,0.00100000005,-0.0649999976,0.0769999996,359.599762,1.19000006,15,3,2023,9,19,11,41,53,800224114,5
8456727760,41.808712,14.0550508,1459.02698,0.0450000018,0.0590000004,-0.128000006,0.074000001,359.599762,1.19000006,15,3,2023,9,19,11,41,54,224647,5
8456927760,41.808712,14.0550508,1459.02002,0.0860000029,0.0149999997,-0.112000003,0.0879999995,359.599762,1.25999999,14,3,2023,9,19,11,41,54,200225180,5
8457127764,41.808712,14.0550508,1459.02002,-0.0399999991,-0.0189999994,-0.00800000038,0.0439999998,359.599762,1.25999999,14,3,2023,9,19,11,41,54,400225713,5
8457327764,41.808712,14.0550508,1458.98499,0.136000007,-0.0250000004,-0.193000004,0.137999997,359.599762,1.25999999,14,3,2023,9,19,11,41,54,600226246,5
8457527764,41.808712,14.0550508,1458.95398,0.133000001,-0.00100000005,-0.201000005,0.133000001,359.599762,1.25999999,14,3,2023,9,19,11,41,54,800226780,5
