timestamp,accelerationX,accelerationY,accelerationZ
8433687624,-0.833000004,0.734999955,0.588
8433696652,-1.12699997,1.07799995,0.636999965
8433707556,-0.833000004,0.930999994,0.24499999
8433716652,-0.881999969,1.02899992,0.342999995
8433728476,-0.930999994,0.588,0.68599999
8433736652,-0.930999994,1.02899992,0.636999965
8433747564,-0.833000004,0.48999998,0.783999979
8433756652,-0.833000004,1.02899992,0.588
8433767676,-0.68599999,0.833000004,0.734999955
8433776652,-1.176,1.02899992,0.636999965
8433787624,-0.783999979,0.588,0.833000004
8433796652,-0.538999975,1.07799995,0.979999959
8433807548,-0.979999959,0.833000004,0.930999994
8433816652,-0.979999959,0.783999979,0.636999965
8433827608,-1.02899992,0.734999955,0.68599999
8433836652,-0.979999959,0.783999979,0.538999975
8433847616,-0.833000004,0.588,0.39199999
8433856652,-0.979999959,0.930999994,0.636999965
8433867668,-0.930999994,0.881999969,1.02899992
8433876652,-1.02899992,0.783999979,0.24499999
8433887612,-0.833000004,0.833000004,0.538999975
8433896652,-0.881999969,0.783999979,0.48999998
8433907560,-1.176,0.734999955,0.734999955
8433916652,-0.833000004,0.881999969,0.930999994
8433928472,-0.833000004,0.636999965,0.930999994
8433936656,-0.833000004,0.734999955,0.39199999
8433947564,-0.783999979,0.881999969,0.833000004
8433956652,-1.176,0.881999969,0.833000004
8433967672,-0.881999969,0.979999959,1.07799995
8433976656,-0.636999965,0.734999955,0.734999955
8433987624,-0.636999965,0.734999955,0.833000004
8433996652,-1.07799995,0.930999994,0.68599999
8434007608,-0.930999994,0.68599999,0.636999965
8434016652,-1.07799995,0.440999985,0.588
8434027560,-0.833000004,0.734999955,0.294
8434036656,-0.588,0.881999969,0.636999965
8434047616,-0.979999959,0.783999979,0.342999995
8434056652,-0.833000004,1.07799995,0.538999975
8434067668,-0.734999955,1.07799995,0.930999994
8434076652,-1.12699997,0.881999969,0.783999979
8434087612,-0.881999969,0.783999979,0.342999995
8434096652,-1.02899992,0.783999979,0.538999975
8434107608,-0.930999994,0.833000004,0.930999994
8434116656,-0.930999994,0.833000004,0.833000004
8434128420,-1.07799995,0.734999955,0.588
8434136656,-1.02899992,1.12699997,0.783999979
8434147560,-0.979999959,0.833000004,0.636999965
8434156652,-1.176,0.636999965,0.930999994
8434167676,-0.68599999,0.636999965,1.02899992
8434176652,-1.12699997,0.636999965,0.39199999
8434187624,-0.636999965,0.734999955,0.783999979
8434196652,-0.881999969,0.68599999,0.979999959
8434207608,-0.734999955,0.783999979,0.538999975
8434216656,-0.68599999,1.02899992,0.48999998
8434227560,-1.07799995,0.734999955,0.636999965
8434236656,-0.833000004,0.588,0.734999955
8434247620,-1.07799995,0.881999969,0.783999979
8434256656,-0.930999994,0.24499999,0.636999965
8434267672,-0.881999969,0.930999994,0.538999975
8434276656,-0.833000004,0.636999965,0.538999975
8434287616,-0.734999955,0.636999965,0.39199999
8434296656,-1.02899992,0.588,0.881999969
8434307608,-1.07799995,0.588,0.440999985
8434316656,-0.588,0.881999969,1.176
8434328424,-0.881999969,0.636999965,0.930999994
8434336656,-0.783999979,0.538999975,0.833000004
8434347560,-0.930999994,0.588,1.46999991
8434356656,-1.02899992,0.833000004,0.636999965
8434367668,-0.881999969,0.833000004,0.538999975
8434376656,-1.02899992,0.48999998,0.342999995
8434387624,-0.833000004,0.39199999,0.783999979
8434396656,-1.07799995,1.12699997,0.440999985
8434407628,-0.881999969,0.68599999,0.24499999
8434416656,-1.07799995,0.734999955,0.538999975
8434427624,-1.32299995,0.636999965,0.734999955
8434436660,-0.833000004,0.881999969,0.440999985
8434447568,-1.176,0.68599999,0.538999975
8434456656,-1.27399993,0.783999979,0.48999998
8434467668,-0.979999959,0.881999969,0.68599999
8434476656,-0.833000004,0.979999959,0.636999965
8434487620,-1.02899992,0.930999994,0.636999965
8434496656,-1.02899992,1.02899992,0.636999965
8434507608,-0.68599999,0.881999969,0.68599999
8434516656,-1.02899992,0.68599999,0.734999955
8434528416,-0.783999979,0.881999969,1.02899992
