pressureTimestamp,pressure
8433687908,88378.0547
8433696936,88380.6094
8433707840,88390.3203
8433716940,88386.5781
8433728792,88382.4844
8433736940,88390.2109
8433747844,88381.8984
8433756932,88379.7344
8433767968,88384.9453
8433776936,88380.9609
8433787908,88380.0781
8433796932,88393.0234
8433807828,88384.9453
8433816940,88383.125
8433827892,88389.4766
8433836936,88384.6953
8433847896,88383.3203
8433856932,88390.1719
8433867956,88385.9297
8433876932,88383.7109
8433887896,88391.6484
8433896932,88385.0938
8433907840,88381.5547
8433916940,88394.4531
8433928788,88383.6719
8433936940,88381.1562
8433947848,88385.2891
8433956932,88377.3125
8433967964,88374.0156
8433976936,88390.7656
8433987904,88385.3438
8433996932,88383.625
8434007892,88389.2266
8434016940,88381.7031
8434027840,88378.2031
8434036940,88386.2734
8434047896,88378.9922
8434056932,88380.2188
8434067956,88392.8203
8434076932,88385.0391
8434087892,88380.9141
8434096932,88391.5
8434107892,88384.5078
8434116944,88385.5391
8434128736,88394.2031
8434136940,88385.0938
8434147840,88383.7109
8434156932,88391.9375
8434167968,88385.3438
8434176932,88385.7812
8434187908,88392.875
8434196932,88385.5938
8434207892,88381.0078
8434216944,88390.4141
8434227840,88384.2031
8434236940,88379.9766
8434247904,88386.2734
8434256932,88380.8125
8434267964,88379.2344
8434276940,88387.8984
8434287896,88380.8125
8434296932,88368.1562
8434307892,88359.3906
8434316944,88358.7578
8434328740,88363.9766
8434336940,88356.3438
8434347840,88357.2266
8434356936,88366.0469
8434367960,88357.0781
8434376940,88358.6016
8434387908,88386.3281
8434396936,88380.8594
8434407912,88382.1406
8434416944,88382.4844
8434427904,88374.3594
8434436944,88376.9141
8434447852,88383.5234
8434456932,88377.2188
8434467960,88376.3281
8434476940,88388.6328
8434487900,88382.5781
8434496936,88384.0547
8434507892,88391.75
8434516944,88386.3281
8434528732,88385.4375
8434536940,88385.5391
8434547848,88380.5078
8434556936,88383.7109
8434567960,88392.4297
8434576936,88383.4219
8434587900,88386.2344
8434596936,88391.75
8434607892,88384.2031
8434616944,88383.625
8434627900,88388.2422
8434636940,88380.9141
8434647900,88381.1016
8434656932,88391.1016
8434667904,88386.3281
8434676936,88385.25
8434687900,88391.9922
8434696936,88386.5781
8434707892,88387.8047
8434716944,88392.5312
8434728732,88383.2188
8434736944,88382.2969
8434747904,88383.7656
8434756940,88377.0703
8434767908,88378.1094
8434776940,88392.9219
8434787908,88387.3125
8434796936,88385.2891
8434807892,88389.8672
8434816944,88387.8047
8434827904,88389.2812
8434836940,88389.7812
8434847900,88382.8281
8434856936,88383.2188
8434867964,88391.75
8434876936,88385.5938
8434887844,88372.6328
8434896936,88367.125
8434907896,88360.5312
8434916944,88360.0781
8434928732,88367.1719
8434936944,88360.1797
8434947912,88358.0625
8434956936,88361.8984
8434967968,88354.0234
8434976944,88354.9062
8434987848,88392.0859
8434996936,88384.9062
8435007900,88382.1953
8435016948,88392.875
8435027904,88385.0391
8435036944,88383.8125
8435047908,88394.4531
8435056936,88388.9766
8435067964,88387.6094
8435076940,88392.7344
8435087852,88385.4922
8435096936,88382.1953
8435107896,88389.8281
8435116948,88382.8281
8435128740,88380.7578
8435136940,88389.6172
8435147900,88383.5703
8435156936,88388.1484
8435167964,88390.9062
8435176940,88386.0234
8435187908,88389.0391
8435196940,88389.6797
8435207840,88379.7812
8435216948,88384.9062
8435227900,88393.8047
8435236944,88384.1094
8435247908,88379.9297
8435256940,88386.375
8435267964,88379.0391
8435276944,88377.5547
8435287904,88391.6484
8435296940,88386.1328
8435307836,88385.2891
8435316948,88394.6484
8435328792,88383.4219
8435336944,88380.9609
8435347848,88390.3594
8435356940,88382.9297
8435367964,88383.9141
8435376940,88391.3047
8435387904,88388.5469
8435396940,88388.7344
8435407840,88390.0234
8435416948,88383.7656
8435427900,88384.4531
8435436948,88391.9375
8435447908,88383.4688
8435456940,88383.625
8435467972,88392.3281
8435476944,88385.6406
8435487908,88373.2734
8435496940,88370.2734
8435507896,88360.875
8435516948,88361.5547
8435528736,88365.1016
8435536944,88353.2812
8435547848,88353.5312
8435556940,88370.625
8435567960,88363.4375
8435576940,88360.6641
8435587900,88391.9922
8435596940,88385.1875
8435607904,88386.9688
8435616952,88392.2344
8435627848,88384.75
8435636944,88384.9453
8435647904,88392.5781
8435656940,88386.4766
8435667968,88384.0547
8435676944,88396.1172
8435687912,88386.5781
8435696940,88386.2734
8435707904,88391.3047
8435716952,88385.7812
8435728736,88385.4922
8435736948,88387.5078
8435747856,88379.8281
8435756940,88381.7031
8435767972,88386.9141
8435776948,88381.5547
8435787924,88382.5781
8435796944,88384.5078
8435807904,88377.4141
8435816956,88378.75
8435827916,88387.0703
8435836948,88381.6562
8435847848,88380.9141
8435856944,88392.2891
8435867972,88385.7344
8435876940,88385.6406
8435887904,88394.0156
8435896940,88386.3281
8435907900,88384.3594
8435916952,88394.75
8435928740,88385.3438
8435936948,88383.3203
8435947864,88387.0703
8435956940,88381.9922
8435967972,88379.5234
8435976944,88387.8047
8435987908,88384.9453
8435996940,88384.9453
8436007900,88390.6016
8436016948,88387.8594
8436027916,88383.8125
8436036948,88386.5781
8436047860,88385.0391
8436056944,88388.0547
8436067968,88393.125
8436076940,88384.6094
8436087908,88373.4688
8436096944,88372.0469
8436107900,88365.9453
