magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,temperatureTimestamp,temp
8433687816,-0.0465000011,0.460500002,0.405000001,0,43.25
8433696840,-0.0450000018,0.45449999,0.411000013,0,43.25
8433707744,-0.0375000015,0.45449999,0.407999992,0,43.25
8433716848,-0.0344999991,0.457500011,0.406500012,8433716824,43.25
8433728696,-0.0419999994,0.458999991,0.407999992,0,43.25
8433736848,-0.0480000004,0.458999991,0.406500012,0,43.25
8433747752,-0.0450000018,0.462000012,0.409500003,0,43.25
8433756840,-0.0450000018,0.462000012,0.407999992,0,43.25
8433767872,-0.0480000004,0.462000012,0.40200001,8433767852,43.25
8433776840,-0.0375000015,0.456,0.406500012,0,43.25
8433787816,-0.0285,0.453000009,0.403499991,0,43.25
8433796836,-0.0390000008,0.451499999,0.40200001,0,43.25
8433807736,-0.0465000011,0.451499999,0.406500012,0,43.25
8433816848,-0.0450000018,0.45449999,0.407999992,8433816828,43.375
8433827796,-0.0405000001,0.456,0.40200001,0,43.375
8433836844,-0.0375000015,0.45449999,0.403499991,0,43.375
8433847800,-0.0405000001,0.460500002,0.407999992,0,43.375
8433856840,-0.0419999994,0.462000012,0.406500012,0,43.375
8433867864,-0.0419999994,0.45449999,0.407999992,8433867844,43.375
8433876840,-0.0434999987,0.450000018,0.411000013,0,43.375
8433887800,-0.0434999987,0.450000018,0.411000013,0,43.375
8433896836,-0.0450000018,0.45449999,0.409500003,0,43.375
8433907748,-0.0419999994,0.451499999,0.411000013,0,43.375
8433916848,-0.0405000001,0.450000018,0.409500003,8433916824,43.25
8433928692,-0.0405000001,0.456,0.398999989,0,43.25
8433936844,-0.0390000008,0.458999991,0.406500012,0,43.25
8433947752,-0.0359999985,0.45449999,0.411000013,0,43.25
8433956840,-0.0375000015,0.45449999,0.409500003,0,43.25
8433967868,-0.0405000001,0.457500011,0.407999992,8433967848,43.25
8433976844,-0.0405000001,0.456,0.409500003,0,43.25
8433987812,-0.0465000011,0.457500011,0.412499994,0,43.25
8433996840,-0.0525000021,0.456,0.411000013,0,43.25
8434007796,-0.0480000004,0.45449999,0.412499994,0,43.25
8434016848,-0.0405000001,0.457500011,0.409500003,8434016828,43.25
8434027748,-0.0375000015,0.45449999,0.403499991,0,43.25
8434036844,-0.0390000008,0.453000009,0.405000001,0,43.25
8434047804,-0.0450000018,0.456,0.405000001,0,43.25
8434056840,-0.0465000011,0.460500002,0.403499991,0,43.25
8434067864,-0.0480000004,0.45449999,0.405000001,8434067840,43.25
8434076840,-0.0419999994,0.451499999,0.409500003,0,43.25
8434087800,-0.0390000008,0.453000009,0.407999992,0,43.25
8434096840,-0.0405000001,0.451499999,0.403499991,0,43.25
8434107796,-0.0405000001,0.448500007,0.406500012,0,43.25
8434116852,-0.0405000001,0.448500007,0.406500012,8434116828,43.25
8434128604,-0.0390000008,0.460500002,0.412499994,0,43.25
8434136844,-0.0390000008,0.460500002,0.412499994,0,43.25
8434147748,-0.0390000008,0.460500002,0.403499991,0,43.25
8434156840,-0.0390000008,0.460500002,0.403499991,0,43.25
8434167872,-0.0450000018,0.457500011,0.409500003,8434167852,43.25
8434176840,-0.0450000018,0.457500011,0.409500003,0,43.25
8434187812,-0.0494999997,0.457500011,0.412499994,0,43.25
8434196840,-0.0450000018,0.448500007,0.412499994,0,43.25
8434207796,-0.0419999994,0.445500016,0.409500003,0,43.25
8434216852,-0.0405000001,0.451499999,0.406500012,8434216828,43.25
8434227748,-0.0405000001,0.453000009,0.412499994,0,43.25
8434236848,-0.0434999987,0.453000009,0.409500003,0,43.25
8434247808,-0.0419999994,0.456,0.406500012,0,43.25
