timestamp,mslAltitude,aglAltitude,verticalSpeed,x0,x1,x2
8434926852,1137.80127,4.34130859,0.308374882,88382.3281,-3.31650925,-0.172252238
8434946692,1138.11047,4.6505127,0.409029275,88379.0078,-4.39889288,-0.310018629
8434966692,1138.25842,4.79846191,0.456347913,88377.4297,-4.90770912,-0.375122488
8434986696,1138.48303,5.02307129,0.530471265,88375.0156,-5.70472908,-0.478834093
8435006692,1138.45129,4.99133301,0.517344892,88375.3359,-5.56358337,-0.458761007
8435026700,1138.25842,4.79846191,0.446206331,88377.4219,-4.79864311,-0.354266942
8435046668,1138.23193,4.77197266,0.434557587,88377.6953,-4.67338037,-0.336164623
8435066668,1138.16858,4.70861816,0.409157425,88378.375,-4.40024567,-0.297387838
8435086668,1138.02856,4.56860352,0.354707569,88379.8906,-3.81472301,-0.214388937
8435106668,1138.02856,4.56860352,0.352191031,88379.8984,-3.78765893,-0.209934443
8435126676,1138.01001,4.55004883,0.342641503,88380.1016,-3.68496513,-0.1945609
8435146848,1137.97827,4.51831055,0.329034835,88380.4219,-3.53864098,-0.172696993
8435166844,1137.95715,4.49719238,0.318256289,88380.6562,-3.42272949,-0.155118629
8435186852,1137.92554,4.46557617,0.303961843,88380.9844,-3.26900744,-0.131757081
8435206844,1137.8092,4.34924316,0.255137801,88382.2422,-2.74395323,-0.052258566
8435226852,1137.77747,4.31750488,0.23952657,88382.6016,-2.57606626,-0.0265254788
8435246692,1137.80396,4.34399414,0.248839334,88382.3047,-2.67621589,-0.0418656617
8435266692,1137.72998,4.27001953,0.216729641,88383.0859,-2.33089924,0.0120079089
8435286696,1137.75635,4.29638672,0.224976912,88382.8281,-2.41959238,-0.00197835965
8435306692,1137.71143,4.25146484,0.204710752,88383.2969,-2.20164227,0.0326571353
8435326700,1137.58728,4.12731934,0.148896351,88384.6484,-1.60138416,0.128888085
8435346668,1137.60046,4.14050293,0.15360862,88384.4922,-1.6520623,0.120256312
8435366668,1137.60315,4.14318848,0.153703734,88384.4531,-1.65308464,0.119695365
8435386668,1137.50537,4.04541016,0.108034641,88385.5234,-1.16192472,0.200449333
8435406668,1137.50269,4.04272461,0.105525993,88385.5547,-1.1349442,0.204280257
8435426676,1137.50537,4.04541016,0.105986409,88385.5078,-1.13989544,0.202759326
8435446852,1137.43933,3.97937012,0.0740750879,88386.2266,-0.796691,0.260354459
8435466848,1137.4895,4.02954102,0.096946165,88385.6719,-1.04266822,0.217319563
8435486852,1137.5238,4.06384277,0.111404449,88385.3047,-1.19816494,0.189695567
8435506844,1137.67969,4.21972656,0.182843909,88383.6484,-1.9664731,0.0551207289
8435526856,1137.89636,4.43640137,0.284747452,88381.3047,-3.06237245,-0.137687907
8435546696,1138.14478,4.68481445,0.401117146,88378.6484,-4.31378841,-0.358961284
8435566692,1138.24255,4.78259277,0.446282238,88377.5781,-4.79946566,-0.444441557
8435586696,1138.44336,4.98339844,0.540503144,88375.4375,-5.81263447,-0.625275314
8435606696,1138.38,4.92004395,0.5056144,88376.1016,-5.43746996,-0.554925144
8435626700,1138.20557,4.74560547,0.413737625,88377.9922,-4.44948721,-0.372232109
8435646672,1138.16333,4.70336914,0.38868311,88378.4531,-4.18005943,-0.321221411
8435666668,1138.10779,4.64782715,0.357548803,88379.0391,-3.84524918,-0.257887512
8435686672,1137.94666,4.48669434,0.27240786,88380.7578,-2.92964911,-0.0857503191
8435706672,1137.89905,4.43908691,0.244885519,88381.2734,-2.63366866,-0.0296981335
8435726676,1137.85681,4.39685059,0.219244525,88381.75,-2.35791779,0.0226991475
8435746852,1137.78809,4.328125,0.182042912,88382.4688,-1.9578371,0.098994121
8435766852,1137.81714,4.35717773,0.195111185,88382.1562,-2.09837794,0.071600385
8435786864,1137.84619,4.38623047,0.207949921,88381.8516,-2.23644924,0.0446081646
8435806848,1137.79871,4.33874512,0.180331618,88382.3594,-1.93943059,0.102279931
8435826856,1137.83032,4.37036133,0.195298657,88382.0156,-2.10039139,0.0703298077
8435846696,1137.84888,4.38891602,0.202881888,88381.8203,-2.18194342,0.0539667606
8435866696,1137.72729,4.26733398,0.133983925,88383.125,-1.44098043,0.200809658
8435886700,1137.69556,4.2355957,0.114540033,88383.4688,-1.23186767,0.241762966
8435906696,1137.66919,4.20922852,0.097993359,88383.7578,-1.05391252,0.276538461
8435926704,1137.54761,4.08764648,0.028960513,88385.0547,-0.311472237,0.425437301
8435946672,1137.64539,4.1854248,0.0830382258,88384,-0.893072903,0.305510253
8435966672,1137.71667,4.25671387,0.121398382,88383.2422,-1.30562592,0.219941735
8435986672,1137.64539,4.1854248,0.080188401,88383.9922,-0.862423062,0.310128421
8436006672,1137.61902,4.15905762,0.0626356751,88384.2969,-0.673646152,0.347858936
8436026680,1137.58203,4.12207031,0.0402946919,88384.6875,-0.43337062,0.396336704
