timestamp,detectedApogees,state
8433684188,0,4
8536229480,0,5
8536247316,1,5
8536267300,2,5
8536287304,3,5
8536307300,4,5
8536327304,5,5
8536347172,6,5
8536367172,0,5
8536387172,0,5
8536407172,0,5
8536427180,0,5
8536447140,0,5
8536467140,0,5
8536487144,0,5
8536507140,0,5
8536527148,0,5
8536547304,0,5
8536567300,0,5
8536587304,0,5
8536607300,0,5
8536627308,0,5
8536647172,0,5
8536667172,0,5
8536687172,0,5
8536707172,0,5
8536727180,0,5
8536747140,0,5
8536767144,0,5
8536787144,0,5
8536807140,0,5
8536827148,0,5
8536847304,0,5
8536867300,0,5
8536887304,0,5
8536907312,0,5
8536927308,0,5
8536947176,0,5
8536967176,0,5
8536987176,0,5
8537007176,0,5
8537027180,0,5
8537047144,0,5
8537067144,0,5
8537087144,0,5
8537107144,0,5
8537127148,0,5
8537147304,0,5
8537167300,0,5
8537187308,0,5
8537207304,0,5
8537227308,0,5
8537247176,0,5
8537267176,0,5
8537287176,0,5
8537307176,0,5
8537327184,0,5
8537347144,0,5
8537367144,0,5
8537387144,0,5
8537407144,0,5
8537427152,0,5
8537447312,0,5
8537467304,0,5
8537487308,0,5
8537507300,0,5
8537527312,0,5
8537547176,0,5
8537567176,0,5
8537587184,0,5
8537607180,0,5
8537627188,0,5
8537647144,0,5
8537667144,0,5
8537687148,0,5
8537707148,0,5
8537727152,0,5
8537747312,0,5
8537767304,0,5
8537787308,0,5
8537807308,0,5
8537827308,0,5
8537847180,0,5
8537867180,0,5
8537887180,0,5
8537907176,0,5
8537927184,0,5
8537947148,0,5
8537967148,0,5
8537987148,0,5
8538007148,0,5
8538027156,0,5
8538047312,0,5
8538067312,0,5
8538087308,0,5
8538107304,0,5
8538127308,0,5
8538147180,0,5
8538167176,0,5
8538187180,0,5
8538207180,0,5
8538227188,0,5
8538247148,0,5
8538267152,0,5
8538287152,0,5
8538307148,0,5
8538327156,0,5
8538347308,0,5
8538367304,0,5
8538387312,0,5
8538407304,0,5
8538427308,0,5
8538447180,0,5
8538467180,0,5
8538487184,0,5
8538507180,0,5
8538527188,0,5
8538547152,0,5
8538567152,0,5
8538587152,0,5
8538607148,0,5
8538627156,0,5
8538647312,0,5
8538667308,0,5
8538687320,0,5
8538707308,0,5
8538727312,0,5
8538747184,0,5
8538767184,0,5
8538787184,0,5
8538807184,0,5
8538827188,0,5
8538847152,0,5
8538867152,0,5
8538887152,0,5
8538907156,0,5
8538927160,0,5
8538947320,0,5
8538967316,0,5
8538987316,0,5
8539007308,0,5
8539027320,0,5
8539047184,0,5
8539067180,0,5
8539087184,0,5
8539107180,0,5
8539127192,0,5
8539147156,0,5
8539167152,0,5
8539187156,0,5
8539207156,0,5
8539227160,0,5
8539247312,0,5
8539267312,0,5
8539287320,0,5
8539307312,0,5
8539327320,0,5
8539347184,0,5
8539367188,0,5
8539387188,0,5
8539407184,0,5
8539427192,0,5
8539447156,0,5
8539467156,0,5
8539487156,0,5
8539507156,0,5
8539527160,0,5
8539547320,0,5
8539567316,0,5
8539587316,0,5
8539607316,0,5
8539627320,0,5
8539647188,0,5
8539667184,0,5
8539687188,0,5
8539707188,0,5
8539727192,0,5
8539747160,0,5
8539767156,0,5
8539787156,0,5
8539807156,0,5
8539827164,0,5
8539847316,0,5
8539867316,0,5
8539887320,0,5
8539907312,0,5
8539927320,0,5
8539947188,0,5
8539967188,0,5
8539987192,0,5
8540007188,0,5
8540027196,0,5
8540047160,0,5
8540067160,0,5
8540087160,0,5
8540107156,0,5
8540127164,0,5
8540147320,0,5
8540167316,0,5
8540187324,0,5
8540207316,0,5
8540227348,0,5
8540247192,0,5
8540267192,0,5
8540287192,0,5
8540307188,0,5
8540327196,0,5
8540347156,0,5
8540367160,0,5
8540387160,0,5
8540407160,0,5
8540427164,0,5
8540447324,0,5
8540467320,0,5
8540487324,0,5
8540507320,0,5
8540527324,0,5
8540547192,0,5
8540567188,0,5
8540587192,0,5
8540607192,0,5
8540627196,0,5
8540647160,0,5
8540667160,0,5
8540687160,0,5
8540707160,0,5
8540727168,0,5
8540747324,0,5
8540767320,0,5
8540787320,0,5
8540807320,0,5
8540827344,0,5
8540847192,0,5
8540867192,0,5
8540887196,0,5
8540907192,0,5
8540927212,0,5
8540947164,0,5
8540967160,0,5
8540987164,0,5
8541007160,0,5
8541027184,0,5
8541047324,0,5
8541067320,0,5
8541087324,0,5
8541107320,0,5
8541127340,0,5
8541147192,0,5
8541167192,0,5
8541187192,0,5
8541207192,0,5
8541227212,0,5
8541247164,0,5
8541267164,0,5
8541287164,0,5
8541307164,0,5
8541327184,0,5
8541347324,0,5
8541367324,0,5
8541387324,0,5
8541407320,0,5
8541427340,0,5
8541447196,0,5
8541467196,0,5
8541487196,0,5
8541507196,0,5
8541527216,0,5
8541547168,0,5
8541567164,0,5
8541587164,0,5
8541607164,0,5
8541627188,0,5
8541647324,0,5
8541667328,0,5
8541687328,0,5
8541707324,0,5
8541727344,0,5
8541747196,0,5
8541767196,0,5
8541787196,0,5
8541807196,0,5
8541827216,0,5
8541847164,0,5
8541867168,0,5
8541887168,0,5
8541907164,0,5
8541927188,0,5
8541947332,0,5
8541967328,0,5
8541987332,0,5
8542007320,0,5
8542027344,0,5
8542047200,0,5
8542067196,0,5
8542087196,0,5
8542107200,0,5
8542127216,0,5
8542147168,0,5
8542167168,0,5
8542187168,0,5
8542207168,0,5
8542227192,0,5
8542247328,0,5
8542267328,0,5
8542287332,0,5
8542307328,0,5
8542327348,0,5
8542347200,0,5
8542367200,0,5
8542387200,0,5
8542407200,0,5
8542427220,0,5
8542447168,0,5
8542467168,0,5
8542487168,0,5
8542507172,0,5
8542527192,0,5
8542547332,0,5
8542567324,0,5
8542587328,0,5
8542607324,0,5
8542627344,0,5
8542647196,0,5
8542667200,0,5
8542687200,0,5
8542707200,0,5
8542727220,0,5
8542747172,0,5
8542767172,0,5
8542787172,0,5
8542807172,0,5
8542827192,0,5
8542847332,0,5
8542867340,0,5
8542887336,0,5
8542907328,0,5
8542927356,0,5
8542947204,0,5
8542967204,0,5
8542987204,0,5
8543007200,0,5
8543027220,0,5
8543047168,0,5
8543067172,0,5
8543087172,0,5
8543107172,0,5
8543127196,0,5
8543147336,0,5
8543167328,0,5
8543187332,0,5
8543207324,0,5
8543227348,0,5
8543247200,0,5
8543267204,0,5
8543287204,0,5
8543307200,0,5
8543327220,0,5
8543347172,0,5
8543367172,0,5
8543387172,0,5
8543407172,0,5
8543427196,0,5
8543447336,0,5
8543467332,0,5
8543487340,0,5
8543507328,0,5
8543527368,0,5
8543547204,0,5
8543567204,0,5
