pressureTimestamp,pressure
 8433687908,88409.6719,
8433696936,88410.9297,
8433707840,88422.5859,
8433716940,88404.875,
8433728792,88405.6641,
8433736940,88422.1016,
8433747844,88410.3203,
8433756932,88410.7031,
8433767968,88417.2031,
8433776936,88406.8516,
8433787908,88408.8516,
8433796932,88409.8203,
8433807828,88409.0312,
8433816940,88414.1719,
8433827892,88430.3984,
8433836936,88409.25,
8433847896,88395.5469,
8433856932,88431.1172,
8433867956,88421.0547,
8433876932,88417.6016,
8433887896,88431.3828,
8433896932,88411.7266,
8433907840,88405.2734,
8433916940,88418.8516,
8433928788,88411.0078,
8433936940,88406.8203,
8433947848,88404.5859,
8433956932,88393.7031,
8433967964,88391.5625,
8433976936,88420.3438,
8433987904,88410.6406,
8433996932,88408.9844,
8434007892,88422.8906,
8434016940,88419.1797,
8434027840,88412.2891,
8434036940,88421.3984,
8434047896,88415.8906,
8434056932,88415.9688,
8434067956,88414.0703,
8434076932,88402.0469,
8434087892,88403.7891,
8434096932,88425.0547,
8434107892,88421.0859,
8434116944,88413.3047,
8434128736,88425.6797,
8434136940,88413.2422,
8434147840,88411.2578,
8434156932,88397.1406,
8434167968,88404.5156,
8434176932,88412.4844,
8434187908,88429.8359,
8434196932,88404.0781,
8434207892,88393.2188,
8434216944,88406.9453,
8434227840,88403.3828,
8434236940,88415.2734,
8434247904,88420.3125,
8434256932,88410.5156,
8434267964,88394.9609,
8434276940,88404.2734,
8434287896,88417.5,
8434296932,88404.6641,
8434307892,88393.375,
8434316944,88392.5938,
8434328740,88395.0469,
8434336940,88389.2266,
8434347840,88383.6328,
8434356936,88386.1641,
8434367960,88390.2812,
8434376940,88384.8359,
8434387908,88421.9453,
8434396936,88409.5312,
8434407912,88408.3906,
8434416944,88423.3125,
8434427904,88406.9062,
8434436944,88407.8516,
8434447852,88420.2422,
8434456932,88408.7891,
8434467960,88409.9531,
8434476940,88428.125,
8434487900,88417.8047,
8434496936,88420,
8434507892,88433.9531,
8434516944,88422.5859,
8434528732,88421.4922,
8434536940,88417.6875,
8434547848,88413.6875,
8434556936,88416.9609,
8434567960,88430.5,
8434576936,88419.2031,
8434587900,88421.4141,
8434596936,88431.3984,
8434607892,88419.6406,
8434616944,88420.6719,
8434627900,88431.2578,
8434636940,88418.7891,
8434647900,88419.2734,
