timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8433684176,0,0,0,3
8536229460,0,0,0,4
8536247292,28.9286232,18.9985046,0,4
8536267276,28.9286232,19.4294281,0,4
8536287280,28.9286232,13.4497089,0,4
8536307276,28.9286232,34.8162956,0,4
8536327280,28.9286232,24.3075657,0,4
8536347148,28.9286232,24.3075657,0,4
8536367148,28.9286232,38.1870079,0,4
8536387148,28.9286232,28.342905,0,4
8536407148,28.9286232,21.5902557,0,4
8536427156,28.9286232,26.2677898,0,4
8536447308,28.9286232,21.9581757,0,4
8536467300,28.9286232,25.910017,0,4
8536487308,28.9286232,26.3148308,0,4
8536507296,28.9286232,31.4424915,0,4
8536527304,28.9286232,31.5919247,0,4
8536547280,28.9286232,30.9054756,0,4
8536567276,28.9286232,32.9847794,0,4
8536587280,28.9286232,43.8409653,0,4
8536607276,28.9286232,45.2740707,0,4
8536627284,28.9286232,36.5051231,0,4
8536647148,28.9286232,36.5051231,0,4
8536667148,28.9286232,43.1121559,0,4
8536687148,28.9286232,47.0119743,0,4
8536707148,28.9286232,33.3791847,0,4
8536727156,28.9286232,36.832016,0,4
8536747304,28.9286232,53.0763969,0,4
8536767300,28.9286232,54.9497375,0,4
8536787312,28.9286232,58.0669289,0,4
8536807300,28.9286232,54.7038422,0,4
8536827304,28.9286232,54.294693,0,4
8536847280,28.9286232,73.1749802,0,4
8536867276,28.9286232,57.3196716,0,4
8536887280,28.9286232,77.2803192,0,4
8536907288,28.9286232,99.4760361,0,4
8536927284,28.9286232,87.3634872,0,4
8536947152,28.9286232,87.3634872,0,4
8536967152,28.9286232,106.045952,0,4
8536987152,28.9286232,109.025887,0,4
8537007152,28.9286232,111.781502,0,4
8537027156,28.9286232,96.8181229,0,4
8537047308,28.9286232,114.550659,0,4
8537067304,28.9286232,110.673515,0,4
8537087308,28.9286232,106.918465,0,4
8537107300,28.9286232,108.355896,0,4
8537127308,28.9286232,129.227066,0,4
8537147280,28.9286232,126.537323,0,4
8537167276,28.9286232,124.450844,0,4
8537187284,28.9286232,136.377884,0,4
8537207280,28.9286232,136.998199,0,4
8537227284,28.9286232,139.46727,0,4
8537247152,28.9286232,139.46727,0,4
8537267152,28.9286232,158.494202,0,4
8537287152,28.9286232,160.179138,0,4
8537307152,28.9286232,150.75946,0,4
8537327160,28.9286232,160.016251,0,4
8537347308,28.9286232,173.895523,0,4
8537367300,28.9286232,176.671753,0,4
8537387308,28.9286232,197.365967,0,4
8537407304,28.9286232,204.503021,0,4
8537427312,28.9286232,189.894104,0,4
8537447288,28.9286232,197.894073,0,4
8537467280,28.9286232,224.460449,0,4
8537487284,28.9286232,228.526627,0,4
8537507280,28.9286232,226.677109,0,4
8537527288,28.9286232,243.595032,0,4
8537547152,28.9286232,243.595032,0,4
8537567152,28.9286232,250.710739,0,4
8537587156,28.9286232,247.171066,0,4
8537607156,28.9286232,260.090363,0,4
8537627164,28.9286232,269.899628,0,4
8537647308,28.9286232,276.690765,0,4
8537667300,28.9286232,246.571075,0,4
8537687312,28.9286232,265.314331,0,4
8537707304,28.9286232,280.07959,0,4
8537727308,28.9286232,276.280792,0,4
8537747288,28.9286232,272.628967,0,4
8537767280,28.9286232,307.983978,0,4
8537787288,28.9286232,318.594696,0,4
8537807284,28.9286232,333.113892,0,4
8537827288,28.9286232,303.844086,0,4
8537847156,28.9286232,303.844086,0,4
8537867156,28.9286232,346.747894,0,4
8537887156,28.9286232,328.558075,0,4
8537907152,28.9286232,362.869934,0,4
8537927160,28.9286232,338.256653,0,4
8537947316,28.9286232,362.642426,0,4
8537967308,28.9286232,365.415985,0,4
8537987312,28.9286232,380.927856,0,4
8538007304,28.9286232,372.072418,0,4
8538027312,28.9286232,366.330688,0,4
8538047292,28.9286232,386.239532,0,4
8538067284,28.9286232,402.131226,0,4
8538087288,28.9286232,389.075012,0,4
8538107284,28.9286232,429.297516,0,4
8538127288,28.9286232,450.025421,0,4
8538147156,28.9286232,450.025421,0,4
8538167156,28.9286232,436.418732,0,4
8538187156,28.9286232,453.222656,0,4
8538207156,28.9286232,436.868073,0,4
8538227164,28.9286232,438.909912,0,4
8538247316,28.9286232,439.883362,0,4
8538267312,28.9286232,455.900635,0,4
8538287312,28.9286232,463.341095,0,4
8538307304,28.9286232,472.008484,0,4
