pressureTimestamp,pressure,temperatureTimestamp,temperature
8436586964,88399.8516,8436586964,41.1500015
8436606956,88404.4766,8436606956,41.1500015
8436626968,88398.2031,8436626968,41.1599998
8436646960,88397.5469,8436646960,41.1599998
8436666968,88399.2031,8436666968,41.1599998
8436686968,88404.3281,8436686968,41.1599998
8436706960,88403.3516,8436706960,41.1599998
8436727768,88401.5781,8436727768,41.1599998
8436746964,88402.7031,8436746964,41.1599998
8436766960,88397.5,8436766960,41.1599998
8436786968,88399.5,8436786968,41.1599998
8436806960,88394.7734,8436806960,41.1599998
8436826964,88397.1484,8436826964,41.1599998
8436846960,88392.3516,8436846960,41.1599998
8436866956,88400.5781,8436866956,41.1599998
8436886968,88392.2969,8436886968,41.1599998
8436906968,88394.8984,8436906968,41.1599998
8436927768,88391.2969,8436927768,41.1599998
8436946968,88398.9766,8436946968,41.1599998
8436966960,88391.1016,8436966960,41.1599998
8436986968,88400.7031,8436986968,41.1599998
8437006960,88392.9531,8437006960,41.1599998
8437026964,88394.375,8437026964,41.1599998
8437046968,88399.7969,8437046968,41.1500015
8437066960,88400.2031,8437066960,41.1599998
8437086968,88399.8516,8437086968,41.1599998
8437106960,88401.7969,8437106960,41.1599998
8437127772,88390.7969,8437127772,41.1599998
8437146968,88392.5234,8437146968,41.1599998
8437166968,88394.4766,8437166968,41.1500015
8437186988,88401.5781,8437186988,41.1599998
8437206964,88401.1484,8437206964,41.1599998
8437226964,88396.375,8437226964,41.1599998
8437246968,88397.4531,8437246968,41.1599998
8437266964,88399.8516,8437266964,41.1599998
8437286968,88397.875,8437286968,41.1599998
8437306968,88396.6719,8437306968,41.1599998
8437327768,88407.0234,8437327768,41.1599998
8437346968,88394.4531,8437346968,41.1599998
8437366960,88400.25,8437366960,41.1599998
8437386968,88403.375,8437386968,41.1599998
8437406960,88399.9531,8437406960,41.1599998
8437426964,88398.1719,8437426964,41.1599998
8437446972,88396.1719,8437446972,41.1599998
8437466964,88399.0781,8437466964,41.1599998
8437486972,88395.7734,8437486972,41.1599998
8437506968,88389.6719,8437506968,41.1599998
8437527772,88398.3516,8437527772,41.1599998
8437546968,88400,8437546968,41.1599998
8437566960,88400.25,8437566960,41.1599998
8437586968,88394.7031,8437586968,41.1599998
8437606960,88409.5781,8437606960,41.1599998
8437626968,88396.8281,8437626968,41.1599998
8437646964,88395.0469,8437646964,41.1599998
8437666960,88395.0469,8437666960,41.1699982
8437686968,88400.625,8437686968,41.1599998
8437706964,88398.8984,8437706964,41.1599998
8437727772,88394.875,8437727772,41.1599998
8437746972,88399.6719,8437746972,41.1599998
8437766968,88398.2266,8437766968,41.1599998
8437786976,88397.0469,8437786976,41.1599998
8437806968,88400.8984,8437806968,41.1599998
8437826972,88395.1719,8437826972,41.1599998
8437846964,88390.9531,8437846964,41.1699982
8437866964,88397,8437866964,41.1599998
8437886980,88397.5,8437886980,41.1599998
8437906964,88395.8281,8437906964,41.1599998
8437927776,88389.7266,8437927776,41.1599998
8437946972,88404.6719,8437946972,41.1599998
8437966964,88396.4219,8437966964,41.1599998
8437986972,88398.6016,8437986972,41.1599998
8438006964,88401.9219,8438006964,41.1599998
8438026972,88390.0469,8438026972,41.1599998
8438046972,88398.1484,8438046972,41.1599998
8438066964,88392.1484,8438066964,41.1599998
8438086968,88390.0469,8438086968,41.1599998
8438106964,88395.3516,8438106964,41.1599998
8438127772,88393.625,8438127772,41.1599998
8438146972,88398.6484,8438146972,41.1599998
8438166968,88403.5,8438166968,41.1599998
8438186976,88397.8281,8438186976,41.1699982
8438206968,88393.625,8438206968,41.1599998
8438226972,88397.9531,8438226972,41.1599998
8438246976,88397.0234,8438246976,41.1599998
8438266968,88403.4531,8438266968,41.1599998
8438286972,88388.875,8438286972,41.1599998
8438306964,88400.6016,8438306964,41.1599998
8438327776,88401.8984,8438327776,41.1699982
8438346972,88406.1016,8438346972,41.1599998
8438366972,88394.0469,8438366972,41.1599998
8438386972,88399.6016,8438386972,41.1599998
8438406968,88398.1719,8438406968,41.1599998
8438426968,88391.8281,8438426968,41.1699982
8438446976,88395.9531,8438446976,41.1599998
8438466968,88394.9766,8438466968,41.1599998
8438486972,88400.5469,8438486972,41.1599998
8438506964,88398.0469,8438506964,41.1699982
8438527772,88398.375,8438527772,41.1599998
8438546972,88401.7734,8438546972,41.1599998
8438566968,88398.6016,8438566968,41.1599998
8438586984,88394.75,8438586984,41.1599998
8438606968,88400.25,8438606968,41.1599998
8438626984,88402.4219,8438626984,41.1599998
8438646972,88406.2734,8438646972,41.1699982
8438666968,88400.8984,8438666968,41.1699982
8438686972,88398.4219,8438686972,41.1699982
8438706968,88398.4766,8438706968,41.1699982
8438727776,88390,8438727776,41.1599998
8438746976,88394.4531,8438746976,41.1599998
8438766972,88393.5781,8438766972,41.1699982
8438786980,88399.4219,8438786980,41.1599998
8438806968,88392.7969,8438806968,41.1699982
8438826976,88390.1719,8438826976,41.1699982
8438846972,88394.9766,8438846972,41.1599998
8438866972,88392.1484,8438866972,41.1699982
8438886976,88390.5234,8438886976,41.1699982
8438906968,88397.8281,8438906968,41.1599998
8438927776,88394.9219,8438927776,41.1699982
8438946980,88398,8438946980,41.1699982
8438966968,88401.2031,8438966968,41.1699982
8438986976,88395.0469,8438986976,41.1599998
8439006976,88392.75,8439006976,41.1599998
8439026980,88394.3984,8439026980,41.1699982
8439046980,88392.9219,8439046980,41.1599998
8439066972,88400.5469,8439066972,41.1599998
8439086976,88401.6719,8439086976,41.1699982
8439106964,88403.1484,8439106964,41.1699982
8439127776,88393.9219,8439127776,41.1699982
8439146976,88395.75,8439146976,41.1699982
8439166972,88404.2734,8439166972,41.1699982
8439186976,88395.3516,8439186976,41.1699982
8439206976,88404.7969,8439206976,41.1699982
8439226976,88405.2266,8439226976,41.1699982
8439246976,88397.125,8439246976,41.1699982
8439266980,88408,8439266980,41.1599998
8439286992,88394.9219,8439286992,41.1699982
8439306972,88395.75,8439306972,41.1699982
8439327780,88394.7969,8439327780,41.1699982
8439346976,88398.8984,8439346976,41.1699982
8439366976,88391.125,8439366976,41.1699982
8439386972,88397.1719,8439386972,41.1699982
8439406972,88394.5781,8439406972,41.1699982
8439426980,88395.5234,8439426980,41.1699982
8439446984,88399.8984,8439446984,41.1699982
8439466972,88395.9219,8439466972,41.1599998
8439486980,88401.375,8439486980,41.1699982
8439506976,88399.7266,8439506976,41.1699982
8439527780,88404.5,8439527780,41.1699982
8439546976,88395.2734,8439546976,41.1699982
8439566972,88395.625,8439566972,41.1699982
8439586976,88401.7266,8439586976,41.1699982
8439606972,88392.375,8439606972,41.1699982
8439626984,88396.2734,8439626984,41.1699982
8439646980,88405.75,8439646980,41.1699982
8439666972,88403.6016,8439666972,41.1699982
8439686980,88394.5,8439686980,41.1699982
8439706972,88398.2266,8439706972,41.1599998
8439727780,88393.3281,8439727780,41.1599998
8439746976,88397.3516,8439746976,41.1599998
8439766972,88397.2969,8439766972,41.1599998
