ballLandingLatitude,ballLandingLongitude,paraLandingLatitude,paraLandingLongitude
39.3756228540664,-8.28031959673874,39.3848750041218,-8.27045955799449
39.373914650307,-8.27899471247206,39.3853861855289,-8.27141690304619
39.3755486853267,-8.280189503898,39.3839327226127,-8.27214305389473
39.3753071680582,-8.27889849686266,39.3842507555841,-8.27030459007236
39.3757369849648,-8.27971424592884,39.3841727147533,-8.27054715419824
39.3744072208417,-8.27805524427889,39.3844195759772,-8.27119178418428
39.3749154710344,-8.27910791157018,39.3842138300184,-8.27067266661319
39.3745594714105,-8.2796272536543,39.3851510883181,-8.27137539949492
39.3767235329099,-8.28130737024294,39.3851914386866,-8.26923585059507
39.3753498328929,-8.28118151029054,39.3849331047476,-8.2709163185812
39.375910536159,-8.2817836805422,39.3835596037322,-8.2713639026992
39.3758782885416,-8.28131655659444,39.3858678485642,-8.27135533636758
39.3771616553868,-8.28140027575005,39.3841105180485,-8.26900852396373
39.3730869533292,-8.28039787549648,39.3840451597415,-8.27072623614609
39.3738601622119,-8.27901958943842,39.3845309108246,-8.2703761496516
39.3753317966768,-8.28267545344459,39.3830158094231,-8.26841397863305
39.3747846916815,-8.27958845008313,39.3847949073196,-8.27179332164089
39.376641782571,-8.28102732601641,39.386425905942,-8.27253929922496
39.3745362638958,-8.28067707497793,39.3842384401477,-8.27055695259987
39.375520898226,-8.28099070515424,39.3850510397713,-8.27055648346906
39.3762669757801,-8.28199177872743,39.3840317549924,-8.27010307650342
39.3747190437615,-8.27928235340119,39.3843268225849,-8.2707932845028
39.3746031302434,-8.2777201111205,39.384163109281,-8.27029763423684
39.3755221767777,-8.28111251452758,39.3842677264152,-8.27058391708229
39.3747868166995,-8.27874643181981,39.3853509885393,-8.27174706455737
39.3746446028324,-8.27725543426249,39.3840986620523,-8.26971085675996
39.3750370621346,-8.27930142665882,39.3843203584766,-8.26990488714702
39.3768721874674,-8.28204316703234,39.3842140926184,-8.27053798460144
39.3746974695079,-8.2782495559757,39.3843043085723,-8.27032988248291
39.3755613878603,-8.2801308421472,39.3848546711363,-8.27183668063434
39.3757357430861,-8.28005384337071,39.3856147504674,-8.27232693051905
39.3745151937842,-8.27849808041516,39.3836777955449,-8.26945202394444
39.3760839336738,-8.28088764819486,39.3833931530249,-8.27037787543926
39.3733246499579,-8.27808917245408,39.3843709493573,-8.27099602966925
39.3759461978295,-8.28119916567562,39.3830304584644,-8.2712534492263
39.3739950444975,-8.27949737717998,39.3854756663037,-8.27229753145741
39.3739481217955,-8.27931064881653,39.3849520765028,-8.27201484065203
39.3732146483534,-8.27984031533258,39.3838013924232,-8.27147314093894
39.3760045595484,-8.280802819322,39.3841744430992,-8.27178144717838
39.3759148854323,-8.27970185006796,39.3834468824401,-8.27095679549708
39.3779450938768,-8.28080608190415,39.3848100668282,-8.27117144775045
39.375510109867,-8.27926533647536,39.3849742686822,-8.27146755122773
39.3755649767689,-8.28041670113167,39.3843523501241,-8.27082326510799
39.3724031283401,-8.27954451816384,39.3852735513385,-8.27232347116564
39.3785778025971,-8.28354199885917,39.3844787992075,-8.27105773517906
39.3755872810926,-8.2822714517635,39.3843143593751,-8.2703579016351
39.3752639322023,-8.28042119880783,39.3844287897571,-8.27086565936554
39.3755584995098,-8.28034078627018,39.3850471901668,-8.27137736350812
39.3764837517004,-8.2808087186778,39.3838053143884,-8.27068299643922
39.3758938219975,-8.28060248882031,39.3842547321703,-8.27059517471062
39.3734780974091,-8.27963635219055,39.3852720642289,-8.27272278516764
39.3731980710166,-8.27796819899331,39.384066379659,-8.27007212195116
39.3766443802056,-8.28067191669674,39.3845007348235,-8.27135293932529
39.374845236374,-8.27856163945498,39.3841670160428,-8.27158554253909
39.3762237985729,-8.28145905356962,39.3854247676012,-8.27169170399974
39.3775844294674,-8.2816039704153,39.3848011485676,-8.27096915544457
39.3728581026868,-8.2793725750109,39.3827404150078,-8.26843059999843
39.3757495351055,-8.28165415337286,39.3839655606249,-8.26984186628805
39.3754259734419,-8.28091023528216,39.3850180737766,-8.27049733768213
39.3765734193962,-8.28125863127132,39.3845324130319,-8.27094240818419
39.376047489838,-8.28075293418141,39.3848552463736,-8.27251106145058
39.3767638960845,-8.28237237443921,39.3850863670987,-8.2716470324336
39.3754800766276,-8.27989200858033,39.3849075423662,-8.27073497975819
39.3766883911688,-8.28098831902263,39.3847887523679,-8.27045676711901
39.3758031061702,-8.28096952749505,39.383892041747,-8.26914003124905
