Z,Vz
0,-0
-0.00898492531064221,-0.0716309461252279
-0.028368734068863,-0.0268355849036544
-0.0371208765034226,0.134497164813442
-0.0206972023586331,0.413175068142535
-0.0319558685639549,0.808266263717234
0.0380707184099265,1.32142633898551
0.205341425841425,1.95806335723134
0.111161649147334,2.70046554797329
-0.0466681582879573,3.55474454893351
-0.128324234132606,4.51353070191563
0.0144029525195037,5.49000713184682
0.203572900125664,6.45813154404789
0.361370400989244,7.39812807975219
0.444014950585824,8.32155551075073
0.578609132877318,9.23446243616854
0.880441416136591,10.1457998039104
1.28421454141221,11.0647529562891
1.30100498449451,11.9512138663204
1.46482240526393,12.8515906251061
1.81679710696699,13.7717886860106
2.2326032204785,14.6981393401711
2.53548564025141,15.6083909168519
2.94299607555877,16.5351984154681
2.84668804704347,17.4109165287531
3.33412900612507,18.355174676882
3.86346857240892,19.3028148602411
4.54694262032558,20.2623678124205
4.37813321922636,21.1006071978518
4.47184141573825,21.9729377962532
5.03237022484768,22.9191071365466
5.56218506633945,23.8701753513519
6.03374825574292,24.8203872252674
6.31969548400116,25.7422454836333
6.58252687990671,26.6776090957758
7.02774352625988,27.6735536326472
7.1893475135962,28.6183148591664
7.34399107521813,29.5523813816413
7.36856859803152,30.4560140121939
7.5503452431476,31.3985155256709
8.38594401411433,32.4675119934626
9.23403404872602,33.536972467503
10.0745703562764,34.6122968406157
10.8614050619865,35.6864296952816
11.3468220298048,36.6907605292273
12.1750870347996,37.7657849713988
13.0759938594165,38.8411048962306
14.1545273795919,39.9451168130839
15.1035942805172,41.01508605974
16.0966569568707,42.1169426025181
17.1455973898348,43.2879853118202
18.163350964694,44.4524344717678
19.5871312632275,45.7167901774697
20.0364902432555,46.7272722314565
20.6571758937505,47.7800573073338
21.4341586534658,48.8640868361309
22.4649127817397,50.0074925733793
23.6281516012823,51.1795604460357
24.0101989301249,52.127165202647
24.2709965428139,53.0320822546526
25.3493033535215,54.1634978041739
26.0976188693892,55.1798851127061
26.4150925154374,56.057260075082
27.6977378767438,57.2125157695488
28.3361590858394,58.1571202231936
30.0369914088094,59.4133924019132
31.8795856101365,60.700219829771
34.1962717635977,62.1253945386092
35.9627811678031,63.3694223872388
37.4060796322306,64.5018691086772
39.208911052182,65.7340200237737
41.0510701289168,66.9709512256731
42.5987757952757,68.0900952697577
44.045164210057,69.1622727073362
45.7614798341663,70.3073141234471
47.0024590498288,71.2885902562552
48.5674801744888,72.4019432069131
50.2191120449952,73.5335625713846
51.8411385817094,74.6292557098228
53.3451603030885,75.6464016547316
54.2611012745708,76.4304292736743
55.4302197470752,77.2949358033492
56.8152770580841,78.2251438233793
58.4686039192502,79.2470400329657
59.838395065332,80.1418600014204
61.4986751888673,81.1353862736793
62.6503711172345,81.9283970468411
63.7103090506534,82.6773655578158
65.0334601981631,83.5197935642602
66.0386611920103,84.2266805695731
67.5293977101508,85.1084157635779
68.7967325857517,85.892054321569
70.1776878068579,86.7109897784953
71.7815058463136,87.598772201628
72.7348427670611,88.2152371807598
74.8646691790484,89.2904005266425
76.9483553764742,90.3342884886401
78.2096479132688,91.0337230160236
80.9881361299338,92.3459530020475
83.6891152431317,93.6177789265407
85.8763266397264,94.6538480152876
88.3123309064465,95.7763112561019
90.3887174501738,96.7394450614681
91.570425663861,97.317409050327
92.8147413328238,97.9168670809676
94.7371768672281,98.7963411854772
96.9812626404125,99.7984306742357
99.4271487406002,100.878980339887
101.684569686135,101.858150492173
104.061111660822,102.881423185864
106.730047558467,104.004158637201
109.288472743726,105.077729617515
111.550784521824,106.00919522936
114.116308679794,107.059497968799
116.147815859335,107.865332511969
118.043357491239,108.590807290901
120.12720251619,109.393307132635
121.828162866802,110.014808018304
123.54089734786,110.634414649763
124.982006792477,111.119145608301
127.247424111141,111.964937814413
129.551214193034,112.810620749186
132.076882397939,113.749421651311
134.964909675118,114.842921692265
138.390407955675,116.168997191715
140.503283190257,116.87933263064
142.499380808466,117.536175919536
144.214298325327,118.072218180443
147.035917301829,119.164954441898
149.737500964044,120.2393033607
151.82927639356,121.048839507988
154.753697957871,122.241007419332
158.038070988494,123.589306404106
160.294207856739,124.448516548428
162.520626618931,125.285998949942
165.297182580532,126.370459215446
168.329367709077,127.544859328815
172.21256441536,129.079114007728
175.156113449522,130.156014490594
177.921738373563,131.128006940838
180.525879003966,132.00340266046
183.612355616155,133.094810613453
186.583745620848,134.097236135003
188.552277006977,134.617575414088
190.611138311838,135.173861477986
192.829467094435,135.754682426963
194.306606985553,135.906112475467
196.56312133243,136.355721771834
199.667995083503,137.13404260173
202.786123810601,137.839115864904
205.833494066642,138.431344634875
209.102562304613,139.052733455784
212.268658362302,138.988006941819
215.087673395698,139.245817190667
217.254670593081,139.114155710278
220.289377972888,139.330736418186
223.30660228439,139.464261447925
227.390551328716,140.039997903184
230.034987978225,139.843732497516
232.767650632687,139.619726785489
235.484214708318,139.333561777079
238.553671076113,139.220236735166
241.570655117561,139.08344279997
244.568494407282,138.939040895733
248.108323279865,139.055926098592
250.226991933853,138.475271690955
252.737595064705,138.08457299914
255.285217474036,137.710843517569
257.540702648045,137.192700206742
259.251858442027,136.407530928836
261.842012063058,136.051481178224
264.552058978401,135.748362936586
266.917111910403,135.275129434701
269.329215966855,134.829812987015
271.266967602542,134.156762898683
273.490980257243,133.63138367745
275.47955630736,132.995241026119
277.700078304142,132.479687665192
279.995292269758,132.013108061262
282.056845411277,131.438106825799
284.365391699625,130.992902236192
287.001686831878,130.716183474737
289.31764283161,130.284387431569
292.136875299384,130.108407350031
