N,E,D,Vn,Ve
-14.2194238550872,5.35738166010605,-933.066301357088,-14.5972688067269,3.93377087392663
-14.2194238550872,5.35738166010605,-933.066301357088,-14.5972688067269,3.93377087392663
-14.4484959388925,5.3273788643425,-933.175781760691,-14.6199087258156,3.85348977855461
-14.5946950261506,5.36591376212805,-933.316379783736,-14.6579305637628,3.82692231797435
-14.5946950261506,5.36591376212805,-933.316379783736,-14.6579305637628,3.82692231797435
-14.5501979326559,5.36176669103477,-933.509535793869,-14.7848737718322,3.8520629975305
-14.6980466703742,5.40028732101008,-933.631871240953,-14.8213153437972,3.82496267183301
-14.6980466703742,5.40028732101008,-933.631871240953,-14.8213153437972,3.82496267183301
-14.8462598238122,5.43853694772841,-933.723868680167,-14.8568271911761,3.79734453606161
-15.1099585397077,5.40193450655512,-933.853499235642,-14.9110409806569,3.82660697930713
-15.1099585397077,5.40193450655512,-933.853499235642,-14.9110409806569,3.82660697930713
-15.2957695524263,5.39592999633507,-933.999694760742,-14.9911681614978,3.7069978613965
-15.4456812340413,5.43299997494903,-934.179436049773,-15.0249829833945,3.67889972599481
-15.4456812340413,5.43299997494903,-934.179436049773,-15.0249829833945,3.67889972599481
-15.5979146506469,5.50297392602343,-934.38672667349,-15.0689010970993,3.67580997288892
-15.7486036616179,5.53973202575232,-934.518702490112,-15.1008968143029,3.64729218407453
-15.7486036616179,5.53973202575232,-934.518702490112,-15.1008968143029,3.64729218407453
-15.8219245516171,5.69201378433211,-934.714388639696,-14.9803575791337,3.79048922118981
-15.9717281274084,5.729918676544,-934.873563989676,-15.011519216024,3.76155925422351
-15.9717281274084,5.729918676544,-934.873563989676,-15.011519216024,3.76155925422351
-15.9425510259184,5.83381601495947,-934.972248721206,-15.1118899493633,3.75952230046642
-16.0936699254121,5.87141123796414,-935.15279902207,-15.1418405799306,3.72991487558837
-16.0936699254121,5.87141123796414,-935.15279902207,-15.1418405799306,3.72991487558837
-16.2450883312114,5.90871038672002,-935.360593771206,-15.1709160915704,3.70017247427336
-16.4549212825156,6.08797802459202,-935.470202303957,-15.0965656431637,3.81352786301073
-16.4549212825156,6.08797802459202,-935.470202303957,-15.0965656431637,3.81352786301073
-16.6777156973725,6.21901926406802,-935.611491662191,-15.1999224513681,3.82726932946535
-16.8297149218862,6.25729195736267,-935.72983726872,-15.2274497859981,3.79702008496279
-16.8297149218862,6.25729195736267,-935.72983726872,-15.2274497859981,3.79702008496279
-16.7816795307991,6.32210895359479,-935.90689900972,-15.1346420962085,3.88114161055161
-16.9330259517612,6.36092036970031,-936.121143247844,-15.1610637499578,3.8502851425264
-16.9330259517612,6.36092036970031,-936.121143247844,-15.1610637499578,3.8502851425264
-16.9663967870188,6.4432896577939,-936.265325720643,-15.0923998360934,3.8987991035157
-17.1173207853798,6.48227764882906,-936.451216598605,-15.1173661051336,3.86764723887561
-17.1173207853798,6.48227764882906,-936.451216598605,-15.1173661051336,3.86764723887561
-17.1240086447225,6.51208979417446,-936.620104041232,-15.0814837694221,3.79426223812245
-17.2748234824167,6.55003241655568,-936.769922835148,-15.1060862168317,3.7625775637881
-17.2748234824167,6.55003241655568,-936.769922835148,-15.1060862168317,3.7625775637881
-17.425884344585,6.58765819219357,-936.959915824558,-15.1298717306707,3.73100605634256
-17.6435095060166,6.68512079828064,-937.157703407951,-15.1827282305251,3.73875884149078
-17.6435095060166,6.68512079828064,-937.157703407951,-15.1827282305251,3.73875884149078
-17.9643650167166,6.88200752056785,-937.356614652516,-15.2932564017813,3.69339825649307
-18.1172975807344,6.91894150313278,-937.555517862374,-15.3152479292544,3.66157063749203
-18.1172975807344,6.91894150313278,-937.555517862374,-15.3152479292544,3.66157063749203
-18.1980526505338,6.83093794390646,-937.752958435691,-15.2451281344242,3.65130616499317
-18.3505039318781,6.86745100555639,-937.963973491841,-15.2658578627852,3.61900043641517
-18.3505039318781,6.86745100555639,-937.963973491841,-15.2658578627852,3.61900043641517
