Time,N,E,D,Vn,Ve
17.9799999999997,44.1464735851666,344.531709981182,-2849.63954587886,1.59379925548866,19.3354398252368
17.9899999999997,43.9506394377567,344.68772447659,-2850.43338315594,1.56886905076094,19.2274520566421
17.9999999999997,43.9663281282644,344.879998997157,-2851.29586303573,1.56617358784183,19.2233132738226
17.9999999999997,43.9663281282644,344.879998997157,-2851.29586303573,1.56617358784183,19.2233132738226
18.0099999999997,43.8887193193118,345.226546217273,-2852.07049595674,1.59271826886907,19.2532292175992
18.0199999999997,43.9046465020005,345.419078509449,-2852.97802006773,1.59018564219777,19.2490536068654
18.0199999999997,43.9046465020005,345.419078509449,-2852.97802006773,1.59018564219777,19.2490536068654
18.0299999999997,43.8991626310076,345.791278036222,-2853.74160284471,1.50320025532225,19.3294047833251
18.0399999999997,43.9141946335609,345.984572084056,-2854.6232148984,1.50092431433186,19.3252306017795
18.0399999999997,43.9141946335609,345.984572084056,-2854.6232148984,1.50092431433186,19.3252306017795
18.0499999999997,43.7709297624381,346.07495707751,-2855.47925527752,1.30721306874054,19.3866793670196
18.0599999999997,43.7840018931255,346.26882387118,-2856.39410549572,1.30446686546327,19.3829722037204
18.0599999999997,43.7840018931255,346.26882387118,-2856.39410549572,1.30446686546327,19.3829722037204
18.0699999999997,43.8278055968706,346.250227816693,-2857.15080477631,1.19792955457356,19.2952174391522
18.0799999999997,43.8397848924163,346.443179991085,-2858.06845948219,1.19579199575473,19.2913446639089
18.0799999999997,43.8397848924163,346.443179991085,-2858.06845948219,1.19579199575473,19.2913446639089
18.0899999999997,43.8038961076545,346.697641421301,-2858.75352912267,1.16318337495695,19.2626638150216
18.0999999999997,43.8155279414041,346.890268059451,-2859.66741080819,1.16067957034516,19.2590309910639
18.0999999999997,43.8155279414041,346.890268059451,-2859.66741080819,1.16067957034516,19.2590309910639
18.1099999999997,43.9661536247441,347.19054522977,-2860.48054621922,1.21265039183482,19.3344073662364
18.1199999999997,43.9782801286624,347.383889303433,-2861.37320516705,1.2105487833581,19.3302708950359
18.1199999999997,43.9782801286624,347.383889303433,-2861.37320516705,1.2105487833581,19.3302708950359
18.1299999999997,44.1168695193013,347.695767059528,-2862.09793273474,1.06663575268136,19.3891939050024
18.1399999999997,44.1275358768281,347.889658998578,-2862.92062093091,1.06434541560287,19.385270920375
18.1399999999997,44.1275358768281,347.889658998578,-2862.92062093091,1.06434541560287,19.385270920375
18.1499999999997,44.0139755762926,347.994219907797,-2863.73204794888,1.02878905751862,19.3635454333266
18.1599999999997,44.0242634668678,348.18785536213,-2864.69320542016,1.02672963844239,19.3599997456745
18.1599999999997,44.0242634668678,348.18785536213,-2864.69320542016,1.02672963844239,19.3599997456745
18.1699999999997,44.0734874451516,348.374612654011,-2865.42508025293,1.00610928720911,19.3707393226857
18.1799999999997,44.0835485380237,348.568320047238,-2866.33699511794,1.00368244806802,19.3668011755344
18.1799999999997,44.0835485380237,348.568320047238,-2866.33699511794,1.00368244806802,19.3668011755344
18.1899999999997,44.1073638957357,348.636051814988,-2867.04554233312,1.11972472542285,19.3289036121892
18.1999999999997,44.1185611429899,348.82934085111,-2867.83530664405,1.11727244854536,19.325128741383
18.1999999999997,44.1185611429899,348.82934085111,-2867.83530664405,1.11727244854536,19.325128741383
18.2099999999997,44.2198009325754,348.934066051652,-2868.55205151165,1.16178079766227,19.398929416701
18.2199999999997,44.231418740552,349.128055345819,-2869.44300817631,1.15926181970258,19.395284002425
18.2199999999997,44.231418740552,349.128055345819,-2869.44300817631,1.15926181970258,19.395284002425
18.2299999999997,44.2673283339896,349.302795732036,-2870.16461107045,1.22643505510284,19.1763752169383
18.2399999999997,44.2795926845406,349.494559484205,-2870.9757489162,1.22412349376878,19.1727515542345
18.2399999999997,44.2795926845406,349.494559484205,-2870.9757489162,1.22412349376878,19.1727515542345
18.2499999999997,44.346018070311,349.770135663726,-2871.7832258979,1.20348401889517,19.2483349886199
18.2599999999997,44.3580529105,349.962619013612,-2872.61918768231,1.20137787543783,19.2446232905258
18.2599999999997,44.3580529105,349.962619013612,-2872.61918768231,1.20137787543783,19.2446232905258
18.2699999999997,44.4176481119181,350.183821531755,-2873.38907132762,1.16584679714276,19.2174762344569
18.2799999999997,44.4293065798895,350.3759962941,-2874.20792736735,1.16380717821615,19.2135306728301
18.2799999999997,44.4293065798895,350.3759962941,-2874.20792736735,1.16380717821615,19.2135306728301
18.2899999999997,44.4146772335989,350.486734487455,-2874.86093465044,1.21800435035577,19.2653150844953
18.2999999999997,44.4268572771024,350.6793876383,-2875.70540063192,1.21569511129418,19.2618458291999
18.2999999999997,44.4268572771024,350.6793876383,-2875.70540063192,1.21569511129418,19.2618458291999
