Time,Z,Vz
12.9399999999998,818.848187157988,-32.3438778629314
12.9499999999998,818.50287967695,-32.3562260134369
12.9599999999998,818.089450151224,-32.4075445504123
12.9599999999998,818.089450151224,-32.4075445504123
12.9699999999998,817.804994564709,-32.3841053131697
12.9799999999998,817.446905112366,-32.4041029981715
12.9799999999998,817.446905112366,-32.4041029981715
12.9899999999998,817.175771123611,-32.3737830803505
12.9999999999998,816.865022646564,-32.3660057875043
12.9999999999998,816.865022646564,-32.3660057875043
13.0099999999998,816.571062596192,-32.3485086210616
13.0199999999998,816.216122622523,-32.36660568163
13.0199999999998,816.216122622523,-32.36660568163
13.0299999999998,815.886530554473,-32.3697483991858
13.0399999999998,815.512926573644,-32.3984264318262
13.0399999999998,815.512926573644,-32.3984264318262
13.0499999999998,815.242658903421,-32.3668476976772
13.0599999999998,814.814965003531,-32.426913895687
13.0599999999998,814.814965003531,-32.426913895687
13.0699999999998,814.550902244707,-32.3918762151491
13.0799999999998,814.14886163625,-32.4370590597396
13.0799999999998,814.14886163625,-32.4370590597396
13.0899999999998,813.875481494206,-32.4071266457838
13.0999999999998,813.611748505946,-32.3718685604241
13.0999999999998,813.611748505946,-32.3718685604241
13.1099999999998,813.250462272651,-32.3931348084792
13.1199999999998,812.844809359867,-32.4399652123844
13.1199999999998,812.844809359867,-32.4399652123844
13.1299999999998,812.635434149738,-32.3731350720661
13.1399999999998,812.302471169107,-32.378473431868
13.1399999999998,812.302471169107,-32.378473431868
13.1499999999998,812.004097815013,-32.3636679047243
13.1599999999998,811.619139358581,-32.398720540611
13.1599999999998,811.619139358581,-32.398720540611
13.1699999999998,811.345110995715,-32.3697423472983
13.1799999999998,810.994793426381,-32.3846162948875
13.1799999999998,810.994793426381,-32.3846162948875
13.1899999999998,810.740929744888,-32.3437192946418
13.1999999999998,810.386868239706,-32.3611216750661
13.1999999999998,810.386868239706,-32.3611216750661
13.2099999999998,810.130627460717,-32.3218042867768
13.2199999999998,809.781662195115,-32.3363908938058
13.2199999999998,809.781662195115,-32.3363908938058
13.2299999999998,809.59537958661,-32.2571140863655
13.2399999999998,809.295913156703,-32.243568051036
13.2399999999998,809.295913156703,-32.243568051036
13.2499999999998,808.939288079617,-32.2630282386397
13.2599999999998,808.505082044023,-32.3275254583802
13.2599999999998,808.505082044023,-32.3275254583802
13.2699999999998,808.212580168333,-32.3094080373307
13.2799999999998,807.883622040537,-32.3126590220984
13.2799999999998,807.883622040537,-32.3126590220984
13.2899999999998,807.607568493578,-32.285059857408
13.2999999999998,807.246636686692,-32.3066952601794
13.2999999999998,807.246636686692,-32.3066952601794
13.3099999999998,806.982467197208,-32.2725568341453
13.3199999999998,806.611118812586,-32.3005651487104
13.3199999999998,806.611118812586,-32.3005651487104
13.3299999999998,806.303623357662,-32.291475779357
13.3399999999998,805.951525278768,-32.3080458624786
13.3399999999998,805.951525278768,-32.3080458624786
13.3499999999998,805.641957822126,-32.3003243421263
13.3599999999998,805.232596835376,-32.3500461165359
13.3599999999998,805.232596835376,-32.3500461165359
13.3699999999998,804.896743610975,-32.3561819101038
13.3799999999998,804.496288113791,-32.4004386746959
13.3799999999998,804.496288113791,-32.4004386746959
13.3899999999998,804.262237532756,-32.3481539404041
13.3999999999998,803.938600495645,-32.3481086007367
13.3999999999998,803.938600495645,-32.3481086007367
13.4099999999998,803.661526044155,-32.3211806765845
13.4199999999998,803.260527157113,-32.3658831097426
13.4199999999998,803.260527157113,-32.3658831097426
13.4299999999998,802.994110448359,-32.3323416414795
13.4399999999998,802.670915288647,-32.3321320432142
13.4399999999998,802.670915288647,-32.3321320432142
13.4499999999998,802.335397638902,-32.3391820886922
13.4599999999998,801.893526574606,-32.4068027422094
13.4599999999998,801.893526574606,-32.4068027422094
13.4699999999998,801.583706336654,-32.3982265165274
13.4799999999998,801.2895167144,-32.3808195521926
13.4799999999998,801.2895167144,-32.3808195521926
13.4899999999998,800.954058737408,-32.3874818432207
13.4999999999998,800.618823468222,-32.3934030186579
13.4999999999998,800.618823468222,-32.3934030186579
13.5099999999998,800.333028412551,-32.3709610173763
13.5199999999998,800.076728990215,-32.3319790054682
13.5199999999998,800.076728990215,-32.3319790054682
13.5299999999998,799.8001276244,-32.3046567631008
13.5399999999998,799.410666191116,-32.3422916934007
13.5399999999998,799.410666191116,-32.3422916934007
13.5499999999998,799.076966180384,-32.3475873760079
13.5599999999998,798.74723274241,-32.350706386437
13.5599999999998,798.74723274241,-32.350706386437
13.5699999999998,798.37720139409,-32.3771436651991
13.5799999999998,797.986398577243,-32.4153489646711
13.5799999999998,797.986398577243,-32.4153489646711
13.5899999999998,797.720083569723,-32.3813190799502
13.5999999999998,797.459489933526,-32.3443263605569
13.5999999999998,797.459489933526,-32.3443263605569
13.6099999999998,797.102748448943,-32.3632718702777
13.6199999999998,796.742007831858,-32.3842735680802
13.6199999999998,796.742007831858,-32.3842735680802
13.6299999999998,796.49503966679,-32.3394683901585
13.6399999999998,796.150365702682,-32.3509718401818
13.6399999999998,796.150365702682,-32.3509718401818
13.6499999999998,795.874873623056,-32.3230421298275
13.6599999999998,795.473064758537,-32.3681290617229
13.6599999999998,795.473064758537,-32.3681290617229
13.6699999999998,795.097966483613,-32.3973908861218
13.6799999999998,794.707149246406,-32.4357747353253
13.6799999999998,794.707149246406,-32.4357747353253
13.6899999999998,794.455478411834,-32.393674903536
13.6999999999998,794.084123088104,-32.4208438178731
13.6999999999998,794.084123088104,-32.4208438178731
13.7099999999998,793.796270786854,-32.3997181534825
